Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,temperature_max_scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-10-30,Ratchaprarop,Train,-0.6612792560412362,-0.2748266253037481,-0.10508071469427423,-0.7818314824680299,-0.7255322144388834,-0.9215513451882325,-0.2434617483845475,0.7029706299455564,-0.24454442872099652,1.005495323320918,0.0
2022-10-31,Ratchaprarop,Train,0.0825886390876704,0.24564684883084262,-0.10508071469427423,0.0,-0.9420861092911151,-1.0617506578713694,-0.22841032612226914,0.5444602860649989,-0.22189795186645764,0.7778301897018743,1.0
2022-11-01,Ratchaprarop,Train,0.23724158635673862,0.3497415436577608,-0.9487900099363311,0.7818314824680298,0.07395454853301861,0.05871320397531289,-0.06597224949949855,-0.7430832329774169,-0.026115506801412853,-0.4811036819730911,1.0
2022-11-02,Ratchaprarop,Train,-0.02605186106002213,-0.13603369886785724,-0.43318988506618644,0.9749279121818236,0.13187012506326662,0.1288128603168813,-0.037628662122480755,-0.5599303232035171,0.012602663304734049,-0.34044534817745276,1.0
2022-11-03,Ratchaprarop,Train,0.18100415098616834,0.2803450804398153,-0.38631714644162707,0.43388373911755823,0.16460501614558073,0.3470263066704733,-0.058544274876556425,-0.6242461361339248,0.01716848525121406,-0.32929703685188966,1.0
2022-11-04,Ratchaprarop,Train,0.3752789277208656,0.07215569078597905,-0.5269353623153018,-0.433883739117558,0.13438819360806004,0.36963909903872116,-0.052875557401152615,-0.5844026005782389,0.035431773037132366,-0.19402754011115583,1.0
2022-11-05,Ratchaprarop,Train,-0.1206330023650721,0.8702150177923514,-0.9487900099363311,-0.9749279121818236,-0.3314544871787175,-0.3641460133109224,-0.012803589040541453,-0.24853698920618936,0.03415334289211808,-0.2021985969575245,0.0
2022-11-06,Ratchaprarop,Train,-0.3788139556572355,0.5926291649205697,-0.24569893056794898,-0.7818314824680299,-0.6285865754643378,-0.7813520325050957,0.023749865024991827,-0.4932518359054819,0.10154487482215702,-0.5143873633737072,0.0
2022-11-07,Ratchaprarop,Train,0.4711381925570649,0.7661203229654333,-0.01133523744515551,0.0,0.10417137107053932,0.15029501306671678,0.06694940164789451,-1.308720290547948,0.17076273553078739,-1.7733003162874794,1.0
2022-11-08,Ratchaprarop,Train,1.0884718581021884,1.1131026390551604,-0.10508071469427423,0.7818314824680298,0.25651451803053954,0.29840880307874035,0.12637319863143529,-0.8725742100502095,0.2412590263844326,-1.3919199533404423,1.0
2022-11-09,Ratchaprarop,Train,0.5120381455538433,0.8702150177923514,-0.19882619194339296,0.9749279121818236,-0.002846542083179845,0.15707885077719114,0.25655822754932384,0.810899480228533,0.3205216953753184,-0.8109292541129062,1.0
2022-11-10,Ratchaprarop,Train,0.5733880750490108,0.3844397752667335,0.12928297842851924,0.43388373911755823,0.20111701004508492,0.46009026851171264,0.33885236745087144,0.7713715926239756,0.39028745471752646,-0.7325238515403473,1.0
2022-11-11,Ratchaprarop,Train,0.7651066047214093,0.1762503856128972,0.03553750117940052,-0.433883739117558,0.3924902194493827,0.36172462170983444,0.39886258348359205,0.8286729502799871,0.43411934540373054,-0.5180497499091785,1.0
2022-11-12,Ratchaprarop,Train,0.39445078068810546,-0.06663723564991181,0.7386285805477809,-0.9749279121818236,-0.09601507824053535,0.053060005883250924,0.4584818534835257,1.0516511103495452,0.5119209513717432,-0.23842668795199617,0.0
2022-11-13,Ratchaprarop,Train,-0.16920169654874642,-0.20543016208580267,0.6917558419232249,-0.7818314824680299,-0.35034000126466797,-0.3528396171267984,0.5372574790899954,0.5236412405161509,0.5113730527381655,-0.233948962926373,0.0
2022-11-14,Ratchaprarop,Train,0.34076959237983384,-1.003489489092175,-0.01133523744515551,0.0,0.4869177898791349,0.5867219057739008,0.5693150537784847,-0.08410494292004636,0.47028065521984885,0.45774619383023846,1.0
2022-11-15,Ratchaprarop,Train,0.5542162220817709,-0.9340930258742297,0.08241023980395988,0.7818314824680298,1.0950313434467391,0.7891063974697192,0.5493768061063758,-0.029661699009966163,0.4171344877628265,0.440099963066327,1.0
2022-11-16,Ratchaprarop,Train,-0.29317967907023085,-0.34422308852169353,-0.38631714644162707,0.9749279121818236,0.5272068865958291,0.5889831850107256,0.4676690852540074,-0.897273696642382,0.37987738067955334,0.2398616374340556,1.0
2022-11-17,Ratchaprarop,Train,-0.27272970257184165,-0.20543016208580267,0.03553750117940052,0.43388373911755823,0.5876405316708706,0.7314437769306872,0.34452108492627526,0.032013115333503823,0.25952231417035093,0.39937573862182923,1.0
2022-11-18,Ratchaprarop,Train,-0.09762677880438426,-0.3789213201306662,-0.24569893056794898,-0.433883739117558,0.776495672530375,0.8433770991535141,0.21511794807395945,0.3452916809472564,0.10464963374576272,0.18047635172459697,1.0
2022-11-19,Ratchaprarop,Train,-0.3430264967850545,0.03745745917700634,-0.10508071469427423,-0.9749279121818236,0.41137573353533313,0.049668087028013744,0.0831736620085326,-0.36120750805542834,-0.03433398630507571,-0.8782086208488987,0.0
2022-11-20,Ratchaprarop,Train,-0.5040700617098692,-0.7953000994383388,-0.058207976069714874,-0.7818314824680299,-0.1438583805916098,-0.607233531269587,-0.029614268450358767,-0.40400078610875356,-0.10793503608232723,-0.6649705352364444,0.0
2022-11-21,Ratchaprarop,Train,0.136269827395942,-0.7259036362203933,-0.5269353623153018,0.0,0.35849629409467193,0.2577057768158942,-0.08082819874538406,-0.021068891546694533,-0.11377928817382095,-0.5953748618339786,1.0
