Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,temperature_max_scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-09-08,Huamak,Train,1.241797911657165,-0.6155448242708887,-0.433883739117558,1.553393654727804,1.541560923002413,1.081299425398218,0.9240728156656403,1.0943672900965002,0.8444806592790719,1.0
2023-09-09,Huamak,Train,-0.18920075070204534,0.40024640345503093,-0.9749279121818236,-0.15575868380969146,-0.0840828556001423,1.0400722871054209,0.7788912254459895,1.0390403314346774,0.6627646417171182,0.0
2023-09-10,Huamak,Train,-0.8249021246085736,-1.0025129110236202,-0.7818314824680299,-0.766123654763944,-0.7017874674121924,1.0026981523913903,0.9744151973157801,1.0227904554640723,0.7433207702759205,0.0
2023-09-11,Huamak,Train,1.2424684827266865,-0.470431791738616,0.0,1.1399626808122099,1.2847398910935153,0.9771398953189085,1.1742695727676562,1.003703299562092,0.8983539745502508,1.0
2023-09-12,Huamak,Train,1.2324099166838618,-1.1476259435558946,0.7818314824680298,1.3108127047331652,1.2800704177860807,0.9699476219718786,1.1598782235391267,0.9981577069689492,0.8830196152729631,1.0
2023-09-13,Huamak,Train,1.1070131266833123,-0.6155448242708887,0.9749279121818236,1.2482111692506777,1.1006292292575262,0.9578748774250782,1.1257184905991664,0.991580376218942,0.8648658739361085,1.0
2023-09-14,Huamak,Train,1.1217656902127888,-0.7122868459590729,0.43388373911755823,1.224735593444745,1.3034177843232533,0.937710825362869,1.0753696398433197,0.9955783615767894,0.8726946120537151,1.0
2023-09-15,Huamak,Train,1.1278008298384836,-0.4220607808945239,-0.433883739117558,1.3440697704582367,1.2553889160182126,0.9188311078269152,1.028336498049696,0.9632075769051869,0.7880419142546121,1.0
2023-09-16,Huamak,Train,-0.27235156332273047,-0.470431791738616,-0.9749279121818236,-0.3455195882409815,-0.16813337513396337,0.9153634046060264,1.0167167482209123,0.9412831410718312,0.7299042968794315,0.0
2023-09-17,Huamak,Train,-0.9321934957320382,-0.5671738134267984,-0.7818314824680299,-0.8958914210245169,-0.8005134744836648,0.9271792822475754,0.9567730088647901,0.9252911996404415,0.8089841318506727,0.0
2023-09-18,Huamak,Train,1.0057568951855425,-0.6639158351149809,0.0,1.1034451184474257,1.2560559836335605,0.9178036402059112,1.0331873343176998,0.9046564365031657,0.9772447178695838,1.0
2023-09-19,Huamak,Train,1.1727290914964346,-0.3253187592063415,0.7818314824680298,1.249515367906563,1.2460499694033436,0.8905757482492974,0.9820555030776158,0.8591309903315496,0.862738111336229,1.0
2023-09-20,Huamak,Train,0.9554640649714184,0.4486174142991196,0.9749279121818236,1.1458315747636931,1.1213083253333076,0.8737509659553526,0.9338389704259251,0.8476529033364392,0.8273018935603768,1.0
2023-09-21,Huamak,Train,1.188822797164954,0.5937304468313958,0.43388373911755823,1.1288769922371862,1.135983812870959,0.8723381979764718,0.930191311397315,0.8185063004050368,0.7608277479889768,1.0
2023-09-22,Huamak,Train,1.317572442513112,0.01327831670229783,-0.433883739117558,1.3264630886037871,1.141987421409089,0.8654027915346925,0.9132497040032215,0.831403027365834,0.7993976649417909,1.0
2023-09-23,Huamak,Train,-0.44602947032883894,0.11002033839048198,-0.9749279121818236,-0.2855264500702644,-0.25084975943708887,0.8679714605872034,0.9225018753629103,0.8679007646648917,0.9161993481544429,0.0
2023-09-24,Huamak,Train,-0.7900324289934476,-0.08346370498588288,-0.7818314824680299,-0.943494671964325,-0.9072442929393106,0.8228913187156408,1.1554676983871952,0.8344982418364256,1.0848624805258509,0.0
2023-09-25,Huamak,Train,1.0614142939558397,0.11002033839048198,0.0,0.9652000609235991,1.0205811154157918,0.8393308006517088,1.0310610067710875,0.8618393029933171,0.8755450244448844,1.0
