Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-02-03,Banthapchang,Train,-0.6697151139835457,-0.891864348724836,-0.8834897490641521,-1.9214051762539153,-2.1011661040493586,-1.9073520405010007,-2.1541051485843274,1.0
2022-02-04,Banthapchang,Train,-0.6232316538904837,-0.8107906939161906,-0.8746692374841304,-1.8604740377928317,-1.9788902159909525,-1.8547354545496826,-2.037622003111468,1.0
2022-02-05,Banthapchang,Train,-1.4676811789144417,-1.593537527842517,-1.5313073217746362,-1.808387742011583,-1.8682883284680032,-1.7957559326228556,-1.9187172827836219,0.0
2022-02-06,Banthapchang,Train,-1.8201807512868278,-1.8058732904365882,-1.7939625554908387,-1.7712885407711652,-2.0003759161737036,-1.782295875751588,-1.965185352085743,0.0
2022-02-07,Banthapchang,Train,-0.7520295745650094,-0.8860733733813614,-0.9119113974886666,-1.7695687102500863,-2.010222990711566,-1.7835195172853398,-1.9583405144380461,1.0
2022-02-08,Banthapchang,Train,-0.7007040873789202,-0.8300939450611062,-0.8472276459018405,-1.7309953685630295,-1.9660152127940345,-1.736042225775778,-1.8974445035562861,1.0
2022-02-09,Banthapchang,Train,-0.6939252494486821,-0.678563423573519,-0.7443216774682538,-1.693650477248172,-1.9158675386559283,-1.695906783468726,-1.8404891272877104,1.0
2022-02-10,Banthapchang,Train,-0.715230168658002,-0.652504034527883,-0.6727775279858554,-1.6931590970992922,-1.9149877197386431,-1.700556621296982,-1.8471106092126532,1.0
2022-02-11,Banthapchang,Train,-0.6677783031463347,-0.6061762317800856,-0.6384755385079931,-1.7047065305979654,-1.9361848283546728,-1.7211137990640089,-1.8832486384404317,1.0
2022-02-12,Banthapchang,Train,-1.5742057749610419,-1.4477979816984043,-1.4774041954522814,-1.7160082740221985,-1.9612543968430214,-1.7350633125487769,-1.9136931772353787,0.0
2022-02-13,Banthapchang,Train,-1.8414856704961478,-1.7991171525358678,-1.798862839701962,-1.7430341822105824,-1.863372433505016,-1.7539073921685515,-1.845771346427225,0.0
2022-02-14,Banthapchang,Train,-0.6900516277742602,-0.7345428518937741,-0.7217803700970872,-1.7484393638482592,-1.833686274176709,-1.7497470109537958,-1.868290065790259,1.0
2022-02-15,Banthapchang,Train,-0.7084513307277639,-0.6833892363597479,-0.6864983237770003,-1.7327151990841085,-1.8065882715551569,-1.7392236937635321,-1.8475248683154486,1.0
2022-02-16,Banthapchang,Train,-1.7126877498216222,-0.6766330984590274,-0.7629427574705219,-1.7346807196796272,-1.8101183665698766,-1.7357974974690278,-1.8404102301104859,0.0
2022-02-17,Banthapchang,Train,-0.7684924666813022,-0.6978666747184346,-0.7551023027327248,-1.993146677990352,-1.5781213096602649,-1.9724497700965853,-1.5642571960599017,1.0
2022-02-18,Banthapchang,Train,-0.6668098977277293,-0.6505737094133914,-0.6943387785147974,-2.006659632084544,-1.609437542362592,-1.985175642047602,-1.5907374950597164,1.0
2022-02-19,Banthapchang,Train,-1.616815613379682,-1.55396586299544,-1.5528685723035782,-2.006413942010104,-1.6087504571090199,-1.9824836306733484,-1.5835700934253552,0.0
2022-02-20,Banthapchang,Train,-1.8647274005426788,-1.820350728795275,-1.7822018733841432,-2.0172243052854575,-1.579660296758872,-1.9839520005138505,-1.579758798564287,0.0
2022-02-21,Banthapchang,Train,-0.7830185479603841,-0.6727724482300443,-0.6796379258814278,-2.023120867072014,-1.5552191357016976,-1.9952095026243652,-1.5342613246541097,1.0
2022-02-22,Banthapchang,Train,-0.7985130346580713,-0.6911105368177141,-0.6727775279858554,-2.04670711421824,-1.6131643245244707,-2.008180102882132,-1.5678044330046266,1.0
2022-02-23,Banthapchang,Train,-0.7985130346580713,-1.6919841086815863,-1.7106577239017446,-2.0695562911411463,-1.6699948533611673,-2.0431762507474276,-1.655473189457507,1.0
2022-02-24,Banthapchang,Train,-0.8517753326813714,-0.7509506153669524,-0.8060652585284058,-1.8376248608699255,-1.887936665107377,-1.807502891346871,-1.8783560941190467,1.0
2022-02-25,Banthapchang,Train,-0.8014182509138876,-0.6496085468561457,-0.6835581532503264,-1.8587542072717527,-1.9216264990779706,-1.8265916992733957,-1.9031283029401047,1.0
2022-02-26,Banthapchang,Train,-1.680730371007642,-1.5964330155142543,-1.5587489133569261,-1.8929051276188922,-1.998827437115118,-1.8645245868196951,-1.9806401037061887,0.0
2022-02-27,Banthapchang,Train,-1.9421998340311153,-1.8435146301691736,-1.8272844881264763,-1.9091206725319223,-1.9352134374105994,-1.8889974174947273,-1.8872922687765756,0.0
