Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,day_cos,Passenger_Arrival_Lag7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2022-10-22,Huamak,Train,3367.0,-1721.0,-0.2225209339563146,3464.0,956.0722975252602,4858.285714285715,592.4029355896519,0.0
2022-10-23,Huamak,Train,2782.0,-585.0,0.6234898018587334,3253.0,940.1264099399921,4717.714285714285,809.7241740835193,0.0
2022-10-24,Huamak,Train,2697.0,-85.0,1.0,5302.0,1059.229077251578,4580.857142857143,1048.3220606555708,0.0
2022-10-25,Huamak,Train,5116.0,2419.0,0.6234898018587336,5267.0,1249.763425231996,4194.571428571428,1185.0205141885176,1.0
2022-10-26,Huamak,Train,5137.0,21.0,-0.22252093395631434,5349.0,1244.6359383561166,4199.857142857143,1189.696239742373,1.0
2022-10-27,Huamak,Train,5048.0,-89.0,-0.900968867902419,5319.0,1235.973897859687,4198.714285714285,1188.6403597227818,1.0
2022-10-28,Huamak,Train,5105.0,57.0,-0.9009688679024191,5329.0,1209.850679491754,4176.428571428572,1167.9330541805973,1.0
2022-10-29,Huamak,Train,3422.0,-1683.0,-0.2225209339563146,3536.0,1226.0449770356215,4178.857142857143,1170.160021616905,0.0
2022-10-30,Huamak,Train,2903.0,-519.0,0.6234898018587334,2831.0,1223.2596967587372,4186.714285714285,1163.9684580900682,0.0
2022-10-31,Huamak,Train,5193.0,2290.0,1.0,2717.0,1212.8992028154971,4204.0,1140.288267646972,1.0
2022-11-01,Huamak,Train,5343.0,150.0,0.6234898018587336,5225.0,1023.1199715529303,4560.571428571428,967.6960364947338,1.0
2022-11-02,Huamak,Train,5210.0,-133.0,-0.22252093395631434,5284.0,1060.7655142351061,4593.0,992.8868683456999,1.0
2022-11-03,Huamak,Train,5236.0,26.0,-0.900968867902419,5108.0,1085.421401598297,4603.428571428572,999.9114722718958,1.0
2022-11-04,Huamak,Train,5326.0,90.0,-0.9009688679024191,5438.0,1112.4212973766441,4630.285714285715,1016.2341781114737,1.0
2022-11-05,Huamak,Train,3582.0,-1744.0,-0.2225209339563146,3563.0,1146.0733999597196,4661.857142857143,1036.6676466080182,0.0
2022-11-06,Huamak,Train,2903.0,-679.0,0.6234898018587334,2883.0,1130.506186668269,4684.714285714285,1006.0870926988556,0.0
2022-11-07,Huamak,Train,5130.0,2227.0,1.0,5300.0,1181.1646593007029,4684.714285714285,1006.0870926988556,1.0
2022-11-08,Huamak,Train,5699.0,569.0,0.6234898018587336,5568.0,1180.9757265357573,4675.714285714285,1001.0515661519319,1.0
2022-11-09,Huamak,Train,5333.0,-366.0,-0.22252093395631434,5527.0,1251.8822400118697,4726.571428571428,1048.5198864976046,1.0
2022-11-10,Huamak,Train,5272.0,-61.0,-0.900968867902419,5469.0,1247.9700660329474,4744.142857142857,1058.9503338324264,1.0
2022-11-11,Huamak,Train,5463.0,191.0,-0.9009688679024191,5743.0,1229.674811833249,4749.285714285715,1061.8207184337834,1.0
2022-11-12,Huamak,Train,3818.0,-1645.0,-0.2225209339563146,3647.0,1205.423122709158,4768.857142857143,1075.3981322548132,0.0
2022-11-13,Huamak,Train,3021.0,-797.0,0.6234898018587334,2713.0,1166.5418572695528,4802.571428571428,1034.925900269008,0.0
2022-11-14,Huamak,Train,5312.0,2291.0,1.0,5297.0,1042.967697988587,4819.428571428572,999.1717998994384,1.0
2022-11-15,Huamak,Train,5235.0,-77.0,0.6234898018587336,6113.0,1045.886044962649,4845.428571428572,1010.8994109443415,1.0
2022-11-16,Huamak,Train,4260.0,-975.0,-0.22252093395631434,5476.0,950.9675774353857,4779.142857142857,959.5077607070931,1.0
2022-11-17,Huamak,Train,4052.0,-208.0,-0.900968867902419,5130.0,919.5094447843434,4625.857142857143,941.8250772784049,1.0
2022-11-18,Huamak,Train,4078.0,26.0,-0.9009688679024191,5513.0,912.3269568474166,4451.571428571428,914.8214501826477,1.0
2022-11-19,Huamak,Train,3134.0,-944.0,-0.2225209339563146,3902.0,814.2933249435429,4253.714285714285,802.4883621764046,0.0
2022-11-20,Huamak,Train,2847.0,-287.0,0.6234898018587334,3125.0,914.9742645352903,4156.0,900.0927729962044,0.0
2022-11-21,Huamak,Train,5336.0,2489.0,1.0,5345.0,991.3703839106898,4131.142857142857,938.2548389734742,1.0
2022-11-22,Huamak,Train,5522.0,186.0,0.6234898018587336,5480.0,1053.1419431306224,4134.571428571428,943.3192914990569,1.0
2022-11-23,Huamak,Train,5423.0,-99.0,-0.22252093395631434,4408.0,1106.244655623352,4175.571428571428,1003.4403913773932,1.0
2022-11-24,Huamak,Train,5447.0,24.0,-0.900968867902419,4230.0,1205.925607750562,4341.714285714285,1110.3363926134734,1.0
2022-11-25,Huamak,Train,5583.0,136.0,-0.9009688679024191,4271.0,1256.8859477750068,4541.0,1173.0870953741369,1.0
2022-11-26,Huamak,Train,3473.0,-2110.0,-0.2225209339563146,3232.0,1301.6246258682486,4756.0,1211.378003212318,0.0
2022-11-27,Huamak,Train,2849.0,-624.0,0.6234898018587334,2793.0,1242.9773012523451,4804.428571428572,1140.4244614970987,0.0
2022-11-28,Huamak,Train,5390.0,2541.0,1.0,5654.0,1228.8878053326225,4804.714285714285,1139.852434058272,1.0
2022-11-29,Huamak,Train,5441.0,51.0,0.6234898018587336,5745.0,1225.2645584098275,4812.428571428572,1144.2216943032854,1.0
2022-11-30,Huamak,Train,5536.0,95.0,-0.22252093395631434,5594.0,1217.3333463724996,4800.857142857143,1136.2315533627545,1.0
2022-12-01,Huamak,Train,5474.0,-62.0,-0.900968867902419,5538.0,1231.4242238349914,4817.0,1147.2926101624332,1.0
2022-12-02,Huamak,Train,5895.0,421.0,-0.9009688679024191,5779.0,1250.1356497825084,4820.857142857143,1149.8062776791887,1.0
2022-12-03,Huamak,Train,3597.0,-2298.0,-0.2225209339563146,3521.0,1305.044024070413,4865.428571428572,1189.6317157202957,0.0
2022-12-04,Huamak,Train,2960.0,-637.0,0.6234898018587334,2842.0,1276.3370580353287,4883.142857142857,1166.1331297028103,0.0
2022-12-05,Huamak,Train,2693.0,-267.0,1.0,5615.0,1220.7816387560072,4899.0,1134.1795860150755,0.0
2022-12-06,Huamak,Train,5486.0,2793.0,0.6234898018587336,5669.0,1487.2541653600927,4513.714285714285,1372.6142592738497,1.0
2022-12-07,Huamak,Train,5482.0,-4.0,-0.22252093395631434,5738.0,1482.1401675248094,4520.142857142857,1377.77664234464,1.0
2022-12-08,Huamak,Train,5469.0,-13.0,-0.900968867902419,5746.0,1476.8383862317544,4512.428571428572,1371.2766384094834,1.0
2022-12-09,Huamak,Train,5542.0,73.0,-0.9009688679024191,6210.0,1472.034613982259,4511.714285714285,1370.693463699512,1.0
2022-12-10,Huamak,Train,4532.0,-1010.0,-0.2225209339563146,3673.0,1433.6017245950488,4461.285714285715,1316.7517754289274,0.0
2022-12-11,Huamak,Train,3423.0,-1109.0,0.6234898018587334,3036.0,1377.69852946689,4594.857142857143,1260.696425072456,0.0
2022-12-12,Huamak,Train,3473.0,50.0,1.0,2685.0,1272.151196464736,4661.0,1169.472815702298,0.0
2022-12-13,Huamak,Train,5476.0,2003.0,0.6234898018587336,5622.0,1062.3686473428777,4772.428571428572,971.0308709721575,1.0
2022-12-14,Huamak,Train,5522.0,46.0,-0.22252093395631434,5693.0,1068.9491502004566,4771.0,969.8126966928517,1.0
2022-12-15,Huamak,Train,5311.0,-211.0,-0.900968867902419,5706.0,1076.4340600864869,4776.714285714285,974.8052308513904,1.0
2022-12-16,Huamak,Train,5328.0,17.0,-0.9009688679024191,5979.0,1063.2895049931435,4754.142857142857,957.7844970854026,1.0
2022-12-17,Huamak,Train,3801.0,-1527.0,-0.2225209339563146,4412.0,1058.1054947854825,4723.571428571428,931.5003770159983,0.0
2022-12-18,Huamak,Train,3522.0,-279.0,0.6234898018587334,3615.0,1084.2505421235587,4619.142857142857,995.3440659007338,0.0
2022-12-19,Huamak,Train,5027.0,1505.0,1.0,3512.0,1098.4238491497465,4633.285714285715,976.0313714708318,1.0
2022-12-20,Huamak,Train,5203.0,176.0,0.6234898018587336,5681.0,920.6786834152455,4855.285714285715,834.6240100160267,1.0
2022-12-21,Huamak,Train,5101.0,-102.0,-0.22252093395631434,5755.0,908.3735858271988,4816.285714285715,806.6964968903935,1.0
2022-12-22,Huamak,Train,5086.0,-15.0,-0.900968867902419,5586.0,881.0042430036692,4756.142857142857,759.6342164865517,1.0
2022-12-23,Huamak,Train,5183.0,97.0,-0.9009688679024191,5947.0,870.3424066204617,4724.0,736.6559576898802,1.0
2022-12-24,Huamak,Train,3484.0,-1699.0,-0.2225209339563146,4146.0,813.9334242108575,4703.285714285715,718.6600295656026,0.0
2022-12-25,Huamak,Train,3317.0,-167.0,0.6234898018587334,3544.0,887.7983737206018,4658.0,791.3086207879502,0.0
2022-12-26,Huamak,Train,4618.0,1301.0,1.0,5312.0,935.2019135179376,4628.714285714285,842.4960364467989,1.0
2022-12-27,Huamak,Train,4581.0,-37.0,0.6234898018587336,5541.0,919.7454099084226,4570.285714285715,824.2555660080388,1.0
2022-12-28,Huamak,Train,4015.0,-566.0,-0.22252093395631434,5469.0,868.4766082328371,4481.428571428572,776.842081151384,1.0
2022-12-29,Huamak,Train,3871.0,-144.0,-0.900968867902419,5463.0,809.9059322215224,4326.285714285715,740.0566902352139,1.0
2022-12-30,Huamak,Train,3122.0,-749.0,-0.9009688679024191,5549.0,723.5409291743429,4152.714285714285,671.4826168724693,0.0
2022-12-31,Huamak,Train,2510.0,-612.0,-0.2225209339563146,3775.0,607.4139170834525,3858.285714285714,591.5233763444178,0.0
2023-01-01,Huamak,Train,2172.0,-338.0,0.6234898018587334,3369.0,648.4046722900877,3719.1428571428573,779.0655574835394,0.0
2023-01-02,Huamak,Train,2249.0,77.0,1.0,4809.0,992.3878370111237,3555.5714285714284,973.5075512706347,0.0
2023-01-03,Huamak,Train,4287.0,2038.0,0.6234898018587336,4777.0,1071.428596825396,3217.1428571428573,954.1958968282166,1.0
2023-01-04,Huamak,Train,4952.0,665.0,-0.22252093395631434,4461.0,990.5994337244681,3175.1428571428573,888.3579287223167,1.0
2023-01-05,Huamak,Train,5124.0,172.0,-0.900968867902419,4164.0,1089.1684683192727,3309.0,1084.8591306401622,1.0
2023-01-06,Huamak,Train,5193.0,69.0,-0.9009688679024191,3408.0,1251.3365806589513,3488.0,1279.0367469310625,1.0
2023-01-07,Huamak,Train,6063.0,870.0,-0.2225209339563146,3449.0,1410.3774908394787,3783.8571428571427,1412.796214199747,0.0
2023-01-08,Huamak,Train,3024.0,-3039.0,0.6234898018587334,2032.0,1414.8586333556257,4291.428571428572,1513.513446382604,0.0
2023-01-09,Huamak,Train,5679.0,2655.0,1.0,2186.0,1155.627452738903,4413.142857142857,1338.8449535042525,1.0
2023-01-10,Huamak,Train,5754.0,75.0,0.6234898018587336,4315.0,810.0227216095876,4903.142857142857,999.4344114833833,1.0
2023-01-11,Huamak,Train,5769.0,15.0,-0.22252093395631434,4956.0,878.602055215309,5112.714285714285,1002.5051478314538,1.0
2023-01-12,Huamak,Train,5559.0,-210.0,-0.900968867902419,5195.0,923.3904400425087,5229.428571428572,1027.9125866114682,1.0
2023-01-13,Huamak,Train,5407.0,-152.0,-0.9009688679024191,5433.0,962.453412601651,5291.571428571428,1033.6098324388554,1.0
2023-01-14,Huamak,Train,3591.0,-1816.0,-0.2225209339563146,4663.0,1000.6475760369201,5322.142857142857,1033.3731866354651,0.0
