Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,pm25_filled_scaled,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-11-16,Banthapchang,Train,-0.909176016430799,-0.34328278480323504,0,0.9749279121818236,-0.22252093395631434,0.8146901255237333,0.8464920582054427,0.3337480679386683,-0.546604647264488,0.5141681520247398,-0.33231229922644995,1.0
2022-11-17,Banthapchang,Train,-0.1647844758809644,-0.20451694232381407,0,0.43388373911755823,-0.900968867902419,0.4540626060685967,0.7522535559522546,0.1371581773492398,-0.7971862577936063,0.2808508481999867,-0.47195656206896314,1.0
2022-11-18,Banthapchang,Train,-0.0072576353496716095,-0.37797424542309027,0,-0.433883739117558,-0.9009688679024191,0.5488119275340213,0.7512719048871173,-0.02026154707011451,-0.8737938183021373,0.03207719301775782,-0.6407867713958193,1.0
2022-11-19,Banthapchang,Train,-0.9050576676587391,0.03832328201517265,0,-0.9749279121818236,-0.2225209339563146,-0.616217994566353,-0.6151863777841095,-0.2239956818037707,-1.0799326920337013,-0.21792315671665252,-0.9842484952013645,0.0
2022-11-20,Banthapchang,Train,-0.23994434097105832,-0.7942717728613532,0,-0.7818314824680299,0.6234898018587334,-1.1431402414914185,-1.0579110081610656,-0.3454478322556359,-0.6827331053152954,-0.3418193064868944,-0.5818940172406838,0.0
2022-11-21,Banthapchang,Train,2.0158811989247747,-0.7248888516216427,0,0.0,1.0,0.6029543969428354,0.6481985430476929,-0.3947184815261691,-0.46399074206155805,-0.41198623487162617,-0.29417053326082715,1.0
2022-11-22,Banthapchang,Train,0.28308595308055434,-0.37797424542309027,0,0.7818314824680298,0.6234898018587336,0.694803228975645,0.7787581347109638,-0.39447212827981615,-0.46315438978464446,-0.42793326404997406,-0.34858704805066365,1.0
2022-11-23,Banthapchang,Train,-0.06285534377248084,-0.03105963922453784,0,0.9749279121818236,-0.22252093395631434,0.04315993644813276,-0.08705810474020138,-0.3737784555861921,-0.3829266175091559,-0.4087968290359561,-0.26820601536395144,1.0
2022-11-24,Banthapchang,Train,-0.192583330092369,-0.6901973910017875,0,0.43388373911755823,-0.900968867902419,-0.16374164307840675,-0.2431406240970441,-0.17373961954782624,0.06484441869550603,-0.18799180964344525,0.16118098465532193,1.0
2022-11-25,Banthapchang,Train,0.12658869974227652,-1.3146436821591818,0,-0.433883739117558,-0.9009688679024191,-0.25075632605685794,-0.24903053048786833,0.026299216490539613,0.25284316985290556,0.026189059167290633,0.32940427565680674,1.0
2022-11-26,Banthapchang,Train,-1.8049168743538364,-1.0024205365804848,0,-0.9749279121818236,-0.2225209339563146,-1.092865091326091,-1.110920165678484,0.27068163687238567,0.36990459916840335,0.2722639863347223,0.45516009796161716,0.0
2022-11-27,Banthapchang,Train,-0.2965716365868825,-0.5861230091422218,0,-0.7818314824680299,0.6234898018587334,-1.3365062036657545,-1.338663212790355,0.3027075588982322,0.237487057988273,0.3039127057809825,0.3248020406390122,0.0
2022-11-28,Banthapchang,Train,2.1311949645424537,-0.620814469762077,0,0.0,1.0,0.6039212267537071,0.5843912238137634,0.32734288353349883,0.10863254412709258,0.3220677851532554,0.23118489578827614,1.0
2022-11-29,Banthapchang,Train,0.07305016570549727,0.0036318213953174055,0,0.7818314824680298,0.6234898018587336,0.7760169330888661,0.8553269177916791,0.34261678480736385,0.13277999457688047,0.36770082249437414,0.30597463895347166,1.0
2022-11-30,Banthapchang,Train,-0.0072576353496716095,0.48931227007329087,0,0.9749279121818236,-0.22252093395631434,0.8282257428759369,0.7964278538834365,0.3381824263730161,0.12370522140681883,0.3632847221065241,0.29636955110095575,1.0
2022-12-01,Banthapchang,Train,-0.10095006991403528,-0.06575109984439309,0,0.43388373911755823,-0.900968867902419,0.6213241633493973,0.6138407557678848,0.34261678480736385,0.13388721553434427,0.3721169228822249,0.3145372664890586,1.0
2022-12-02,Banthapchang,Train,0.10393778149594683,-0.13513402108410358,0,-0.433883739117558,-0.9009688679024191,0.7083388463278485,0.7355654878449193,0.37464270683321116,0.18828273505740212,0.40278428668674,0.3614101148008847,1.0
2022-12-03,Banthapchang,Train,-1.893461372953125,-0.4473571666628008,1,-0.9749279121818236,-0.2225209339563146,-0.9671772159127727,-0.9842871782757626,0.4019879171783569,0.24007101540045714,0.4280541944616608,0.4077482422661062,0.0
2022-12-04,Banthapchang,Train,-0.264654433603418,-0.4473571666628008,1,-0.7818314824680299,0.6234898018587334,-1.2398232225785863,-1.2660210339701894,0.4054368626272943,0.22563459521789989,0.4322249559390752,0.3904700368421705,0.0
2022-12-05,Banthapchang,Train,-0.1287489241254399,-0.5167400879025112,1,0.0,1.0,0.6638646750277513,0.7669783219293153,0.40001709120753604,0.2537809252386709,0.44400122364000877,0.3304025966002178,0.0
2022-12-06,Banthapchang,Train,2.2001773064744574,-0.759580312241498,0,0.7818314824680298,0.6234898018587336,0.7586139964931758,0.8376571986192063,-0.12077367158200265,0.9979216524588144,-0.0827414170663484,0.9960057272719111,1.0
2022-12-07,Banthapchang,Train,0.08231645044263214,-0.06575109984439309,0,0.9749279121818236,-0.22252093395631434,0.845628679471627,0.8317672922283821,-0.10599247680084284,1.0352149752582742,-0.10261386881167417,0.9458151957323748,1.0
2022-12-08,Banthapchang,Train,-0.14007438324860474,0.5586951913130014,0,0.43388373911755823,-0.900968867902419,0.7470120387627157,0.7365471389100566,-0.1313668611751677,0.9701759698284063,-0.10114183534905777,0.9497361896009578,1.0
2022-12-09,Banthapchang,Train,0.12144076377720159,0.3158549669740146,0,-0.433883739117558,-0.9009688679024191,0.815656955334605,0.8366755475540689,-0.12570073650905644,0.9842210573021516,-0.1089926804830135,0.9314419302013275,1.0
2022-12-10,Banthapchang,Train,-1.771970084177357,-0.03105963922453784,1,-0.9749279121818236,-0.2225209339563146,-0.9536415985605692,-0.9675991101684273,-0.1412209910292745,0.9442574055286124,-0.11267276413955568,0.9216010770181783,0.0
2022-12-11,Banthapchang,Train,-0.26053608483135804,-0.20451694232381407,1,-0.7818314824680299,0.6234898018587334,-1.2610934784177634,-1.2189017828435953,-0.11042683523519063,0.8663320506378492,-0.08740285636463485,0.8550071376452442,0.0
2022-12-12,Banthapchang,Train,0.23160659342980505,0.24647204573430412,1,0.0,1.0,-1.38001354515498,-1.3406265149206298,-0.0710103158187642,0.7263250167546859,-0.061151592947969756,0.7632882876914414,0.0
2022-12-13,Banthapchang,Train,1.7564252262849986,0.17708912449459363,0,0.7818314824680298,0.6234898018587336,0.8166237851454766,0.7581434623430789,0.058078785270033136,0.24187207943325448,0.05096828912133933,0.35432593278369906,1.0
2022-12-14,Banthapchang,Train,0.029807503598867868,0.7321524944122776,0,0.9749279121818236,-0.22252093395631434,0.746045208951844,0.8376571986192063,0.02777733596865528,0.1641402267259178,0.057347100792677866,0.3702300972980451,1.0
2022-12-15,Banthapchang,Train,-0.08859502359785545,1.0096841793711195,0,0.43388373911755823,-0.900968867902419,0.7692491244127644,0.7051343048256606,0.023835684027012714,0.15405852628399536,0.051213628031775,0.3538019410033224,1.0
2022-12-16,Banthapchang,Train,-0.005198460963641639,2.0157365373469216,0,-0.433883739117558,-0.9009688679024191,0.7547466772496891,0.8219507815770083,-0.00621941202801292,0.07843699042611058,0.057347100792677866,0.3679816383720269,1.0
2022-12-17,Banthapchang,Train,-1.4033778690779921,1.0443756399909747,0,-0.9749279121818236,-0.2225209339563146,-0.8327878722016092,-0.8664890504592775,-0.005973058781659916,0.07910988670232655,0.03330388756993777,0.30704318335851355,0.0
2022-12-18,Banthapchang,Train,-0.2347964050059834,-0.13513402108410358,0,-0.7818314824680299,0.6234898018587334,-1.1064007086782945,-1.1138651188738962,0.05586160605285924,-0.08850924929032751,0.0970920042833302,0.13164113909548583,0.0
2022-12-19,Banthapchang,Train,1.5062355383823571,0.3852378882137251,0,0.0,1.0,-0.8733947242582197,-0.8920119781528493,0.11671085790196795,-0.33529336488965455,0.16701359375762548,-0.14199581170679357,1.0
2022-12-20,Banthapchang,Train,0.05039924745916758,0.801535415651988,0,0.7818314824680298,0.6234898018587336,0.6977037184082601,0.7836663900366507,0.49018237937261216,-0.8438509596865541,0.5406647543518412,-0.6856005900931275,1.0
2022-12-21,Banthapchang,Train,-0.07109204131660071,1.5300560886689483,0,0.9749279121818236,-0.22252093395631434,0.7305759319778972,0.813115921990772,0.4850089611992061,-0.8535875798844788,0.5077893403534012,-0.7462856178753386,1.0
2022-12-22,Banthapchang,Train,0.049369660266152596,1.2872158643299614,0,0.43388373911755823,-0.900968867902419,0.6512958874864194,0.7296755814540951,0.45815645734676486,-0.9044912113098367,0.4508707131322202,-0.8559038413328296,1.0
2022-12-23,Banthapchang,Train,-0.05152988464931599,1.1137585612306853,0,-0.433883739117558,-0.9009688679024191,0.7557135070605608,0.7257489771935455,0.4539684521587701,-0.9119855756139557,0.4268274999094801,-0.9039630814790133,1.0
2022-12-24,Banthapchang,Train,-1.4826560829401458,0.7668439550321328,0,-0.9749279121818236,-0.2225209339563146,-0.5901135896728176,-0.6112597735235599,0.4184935846839854,-0.9853771062917241,0.39174403571711425,-0.9738650167276731,0.0
2022-12-25,Banthapchang,Train,-0.21111589956663873,0.2811635063541594,0,-0.7818314824680299,0.6234898018587334,-0.8675937453929897,-0.8340945653097441,0.3707010548915686,-0.7820930126775796,0.33776947542116764,-0.7379115523295072,0.0
2022-12-26,Banthapchang,Train,1.3209098436396596,0.3852378882137251,0,0.0,1.0,0.5923192690232469,0.6030425940513736,0.3337480679386683,-0.5955852892294947,0.289437710065251,-0.5025246309933536,1.0
2022-12-27,Banthapchang,Train,-5.052499856671143e-05,0.6974610337924223,0,0.7818314824680298,0.6234898018587336,0.6774002923799548,0.6521251473082423,0.24309007328088694,-0.6928006946468126,0.19694494083083278,-0.6104033207126915,1.0
2022-12-28,Banthapchang,Train,-0.25538814886628314,1.4606731674292377,0,0.9749279121818236,-0.22252093395631434,0.625191482592884,0.5853728748789009,0.11892803711914263,-0.8760751972597378,0.09243056498504375,-0.7750489697674539,1.0
2022-12-29,Banthapchang,Train,-0.3727610888699915,1.217832943090251,0,0.43388373911755823,-0.900968867902419,0.6348597807016009,0.6334737770706322,-0.03233285614139521,-1.0924503368508212,-0.055999475828811165,-0.9642927633358107,1.0
2022-12-30,Banthapchang,Train,-0.6558975669491125,0.17708912449459363,1,-0.433883739117558,-0.9009688679024191,0.6164900142950389,0.5853728748789009,-0.24616747397551042,-1.4135482971300055,-0.30501846992147646,-1.2574297872305413,0.0
2022-12-31,Banthapchang,Train,-0.5622051323847489,0.3852378882137251,1,-0.9749279121818236,-0.2225209339563146,-0.7776785729819234,-0.8272230078537826,-0.6235806473877972,-1.660387616897918,-0.6980514044401459,-1.4286034510768986,0.0
2023-01-01,Banthapchang,Train,-0.02167185605188141,0.2117805851144489,1,-0.7818314824680299,0.6234898018587334,-1.0126182170237417,-1.0274798251418071,-0.7157167615236942,-1.3499059935164028,-0.8717513530289216,-0.7833353910741525,0.0
2023-01-02,Banthapchang,Train,-0.048441123070271035,0.801535415651988,1,0.0,1.0,0.23652589862246873,0.23296014249458302,-0.8921056859122046,-0.5788714213309782,-1.00030894209745,-0.3648545118608536,0.0
2023-01-03,Banthapchang,Train,1.6853837099669646,0.6280781125527118,0,0.7818314824680298,0.6234898018587336,0.1901180677006281,0.23394179355972042,-1.3601768539822723,-0.4660532501621544,-1.4551672820460229,-0.39843649030925804,1.0
2023-01-04,Banthapchang,Train,0.4004588930842627,-0.06575109984439309,0,0.9749279121818236,-0.22252093395631434,0.0315579787176726,-0.008526019529211342,-1.4244750512803184,-0.6967988249595196,-1.5084058256106616,-0.6160670268197761,1.0
