Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_National Holiday,holiday_category_Special Public Holiday,holiday_category_Weekday,holiday_category_Weekend
2022-01-29,Huamak,Train,-0.6711409342642785,0.2117805851144489,-0.5853014408323365,0.30357145978618233,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-1.8793947946195249,-1.8796001587465536,-2.00849123046376,-1.774773946930973,-1.9617141882494875,-1.728957542633413,0.0,0.0,0.0,1.0
2022-01-30,Huamak,Train,-0.3700939068274013,-0.06575109984439309,-0.6380336316552435,0.5936461683210174,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-2.1185975710674065,-2.0674483086083466,-1.969735089444258,-1.9404594569497244,-1.9301765417502517,-1.8772222991738825,0.0,0.0,0.0,1.0
2022-01-31,Huamak,Train,0.8738101696004342,-0.13513402108410358,-0.5589353454208831,-0.13154060301606849,0,0.0,1.0,0.49999999999999994,0.8660254037844387,-1.2715844610224487,-1.2819622727093896,-1.9434684689526351,-2.1706828563228098,-1.9124689287568284,-2.026739705397811,0.0,0.0,1.0,0.0
2022-02-01,Huamak,Train,0.04374646598160403,-0.34328278480323504,-0.5853014408323365,-0.4699610963067099,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,-1.2650488660375339,-1.2478688362576051,-1.9420521315731851,-2.167957934476466,-1.9052307803799546,-2.0123152924933665,0.0,0.0,1.0,0.0
2022-02-02,Huamak,Train,0.19148986203241974,-0.6901973910017875,-0.38755572524643556,-0.9050731591089607,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,-1.189235964212522,-1.2271453748849517,-1.9344554129015883,-2.1513392060506806,-1.890366725677446,-1.9735465646985841,0.0,0.0,1.0,0.0
2022-02-03,Huamak,Train,0.018328247306194874,-0.20451694232381407,-0.5325692500094297,-0.276577957283486,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-1.277466496508872,-1.27995677644752,-1.9103776774509342,-2.064281936491306,-1.8506861622542272,-1.8403552107794785,0.0,0.0,1.0,0.0
2022-02-04,Huamak,Train,0.05010102065045632,-0.06575109984439309,-0.5589353454208831,-0.13154060301606849,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,-1.1323762878437635,-1.102136107895075,-1.865569913082872,-1.947262021097142,-1.8195362737037526,-1.7813783318379675,0.0,0.0,1.0,0.0
2022-02-05,Huamak,Train,-0.7076796236101791,0.48931227007329087,-0.6380336316552435,-0.03484903350445911,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,-1.6826733855735894,-1.7164864627811531,-1.8408483879142865,-1.864519173646819,-1.7845088056656668,-1.6485256454721597,0.0,0.0,0.0,1.0
2022-02-06,Huamak,Train,-0.42331330217903923,1.1137585612306853,-0.6380336316552435,0.15853410551876654,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,-1.9852714333751444,-1.9758639793162982,-1.822049728150674,-1.9391906569106676,-1.7696447509631585,-1.715070106450878,0.0,0.0,0.0,1.0
2022-02-07,Huamak,Train,1.1136946083496082,2.2932682223057634,-0.6380336316552435,0.6419919530768238,0,0.0,1.0,0.8660254037844386,0.5000000000000001,-1.2643953065390423,-1.2445263424878223,-1.8118778506073496,-2.026054670866977,-1.75956304429537,-1.7971600298575996,0.0,0.0,1.0,0.0
2022-02-08,Huamak,Train,-0.03965706404708227,2.223885301066053,-0.6248505839495168,0.7386835225884332,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,-1.2264888556265365,-1.1709914795526009,-1.7628210741009367,-1.931334579421574,-1.7140661116407347,-1.7135241303457533,0.0,0.0,1.0,0.0
2022-02-09,Huamak,Train,-0.0515718540511803,0.2811635063541594,-0.46665401148079594,0.4002630292977951,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,-1.0670203379946155,-1.021916257420288,-1.7272838816710947,-1.877447901363916,-1.685242770782827,-1.661295660770432,0.0,0.0,1.0,0.0
2022-02-10,Huamak,Train,0.03103735664389945,-0.10044256046424833,1.4712540012610342,-0.03484903350445911,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-1.050027791033837,-1.118848576743989,-1.7311466199786862,-1.8855460122872285,-1.698297288391117,-1.6902669589967176,0.0,0.0,1.0,0.0
2022-02-11,Huamak,Train,0.05724989465291514,-0.37797424542309027,1.7085488599641154,-0.566652665818321,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,-1.0068928641333994,-0.9209729455728476,-1.7329492311888957,-1.8898837218095488,-1.6887325923216767,-1.6732357076917534,0.0,0.0,1.0,0.0
2022-02-12,Huamak,Train,-0.8069695403109962,0.0036318213953174055,0.07385094445400026,-1.291839437155407,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,-1.5872536987938333,-1.6396091060761488,-1.7335930209068275,-1.8918136901786013,-1.7070864685630351,-1.734952995035818,0.0,0.0,0.0,1.0
2022-02-13,Huamak,Train,-0.26603807412494507,0.5240037306931461,-0.46665401148079594,-0.4699610963067099,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,-1.9336402329943176,-1.9237210765076866,-1.7503315535730575,-1.814673499688158,-1.7174266805299978,-1.6834795375542189,0.0,0.0,0.0,1.0
2022-02-14,Huamak,Train,1.0191706076504303,-0.3085913241833798,1.8008301939042024,-1.0984562981321828,0,0.0,1.0,0.8660254037844386,0.5000000000000001,-1.0153891376137885,-1.0092147810951135,-1.7415760134091833,-1.8848740262832104,-1.7192362176242162,-1.6690480507557643,0.0,0.0,1.0,0.0
2022-02-15,Huamak,Train,0.027860079309473307,0.10770620325488314,0.5220745664487093,-1.871988854225075,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,-1.046106434042888,-1.021916257420288,-1.7481426685320889,-1.903347472298553,-1.7250525868556328,-1.6857121601790512,0.0,0.0,1.0,0.0
2022-02-16,Huamak,Train,-1.0277903150536132,1.356598785569672,0.7198202820346103,-1.5819141456902401,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,-1.0866271229493598,-1.0894346315699006,-1.743764898450152,-1.8911302380678578,-1.7321614825829192,-1.7052963950507218,0.0,0.0,0.0,0.0
2022-02-17,Huamak,Train,0.8722215309332212,1.356598785569672,0.587989804977343,-1.6302599304460466,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-1.0591776240127178,-1.0693796689512038,-1.8976306410358823,-1.594524002088623,-1.885196619693965,-1.4319523477026115,0.0,0.0,1.0,0.0
2022-02-18,Huamak,Train,0.11841248334061841,-0.620814469762077,0.7989185682689707,-1.1468020828879892,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,-1.0101606616258567,-1.0158997686346791,-1.9151417213636304,-1.6465496383978966,-1.89411505251547,-1.4602108400534464,0.0,0.0,1.0,0.0
2022-02-19,Huamak,Train,-0.8570116583282079,-1.1411863790599057,-0.18981000966053452,-1.0017647286205718,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,-1.6722164335977256,-1.6930890063926736,-1.9227384400352272,-1.6766322710794168,-1.9003191796956473,-1.484553040537274,0.0,0.0,0.0,1.0
