Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday,holiday_category_Weekend
2022-03-29,Ramkhamhaeng,Train,3684.0,64.0,7.7,31.2,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,3342.0,3404.0,3086.4285714285716,579.9019621576447,3219.714285714286,507.71439290402725,1.0,0.0
2022-03-30,Ramkhamhaeng,Train,3698.0,69.0,3.3,31.9,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,3358.0,3362.0,3127.1428571428573,610.0566718405297,3259.714285714286,534.9522453097145,1.0,0.0
2022-03-31,Ramkhamhaeng,Train,3840.0,84.0,11.0,33.2,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,3271.0,3426.0,3155.0,626.5835937845811,3307.714285714286,560.1409686515572,1.0,0.0
2022-04-01,Ramkhamhaeng,Train,3915.0,80.0,0.0,32.5,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,3630.0,3635.0,3219.714285714286,662.9016302805212,3366.8571428571427,595.4548481543133,1.0,0.0
2022-04-02,Ramkhamhaeng,Train,2720.0,44.0,0.0,27.8,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,2489.0,2711.0,3262.8571428571427,702.6875618109452,3406.8571428571427,625.1344998135545,0.0,1.0
2022-04-03,Ramkhamhaeng,Train,2304.0,50.0,0.6,25.2,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,2059.0,2321.0,3287.5714285714284,673.364402866398,3408.1428571428573,623.4718460821971,0.0,1.0
2022-04-04,Ramkhamhaeng,Train,3803.0,80.0,0.0,31.4,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,3456.0,3679.0,3280.714285714286,688.0449874549676,3405.714285714286,628.4257352797581,1.0,0.0
2022-04-05,Ramkhamhaeng,Train,3702.0,96.0,0.0,31.9,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,3627.0,3684.0,3304.5714285714284,697.9596113297823,3423.4285714285716,639.0706421940266,1.0,0.0
2022-04-06,Ramkhamhaeng,Train,2528.0,115.0,0.0,34.4,0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,3553.0,3698.0,3322.4285714285716,709.0939893373005,3426.0,640.328821778311,0.0,0.0
2022-04-07,Ramkhamhaeng,Train,3670.0,114.0,0.0,34.1,0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,3724.0,3840.0,3167.0,767.0071707617872,3258.8571428571427,706.7518255067636,1.0,0.0
2022-04-08,Ramkhamhaeng,Train,3693.0,153.0,0.0,33.8,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,3932.0,3915.0,3164.5714285714284,764.9738246377806,3234.5714285714284,686.0723618644652,1.0,0.0
