Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,temperature_max_scaled,day_sin,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2024-08-05,Phayathai,Test,1.0177462183666939,-0.5205483378647507,0.0,-0.7292731990184926,0.6515748277270625,0.6522130233083508,1.2891852460988698,1.0
2024-08-06,Phayathai,Test,0.9180558609056901,0.04225080728375183,0.7818314824680298,0.8659368432103087,1.0120047710066848,0.9528747177197217,-0.21199778311087691,1.0
2024-08-07,Phayathai,Test,1.0300824833367845,-0.28604869405287386,0.9749279121818236,1.1169130524901283,1.050906449267446,0.9630188798554382,-0.20162303156169809,1.0
2024-08-08,Phayathai,Test,1.4178412984777458,-0.14534890776574905,0.43388373911755823,1.1060724570631204,1.0469573395046108,0.9490424786906737,-0.2455468068623783,1.0
2024-08-09,Phayathai,Test,1.8752833400713815,0.6988498099570098,-0.433883739117558,1.3097442499341783,1.0789628111646006,1.0024683992721128,0.018359484219170663,1.0
2024-08-10,Phayathai,Test,0.2595660415562507,0.7926496674817586,-0.9749279121818236,0.3853371126129577,1.1392604124687793,1.098274374998323,0.685033391222892,0.0
2024-08-11,Phayathai,Test,-0.4172614689649453,0.9333494537688868,-0.7818314824680299,-0.18855743923500684,1.0832655725479874,1.0795640315035575,0.7833197735164984,0.0
2024-08-12,Phayathai,Test,-0.6399810635600975,0.22985052233325604,0.0,1.0232897283477873,1.0694731593464453,1.0449048108731933,1.1329962611670814,0.0
2024-08-13,Phayathai,Test,1.1271055402637147,0.04225080728375183,0.7818314824680298,0.925067363721261,0.7236608163829873,0.7647005101021832,2.271323849497547,1.0
2024-08-14,Phayathai,Test,1.1537785456044514,0.5112500949075056,0.9749279121818236,1.0354443353417053,0.7396930231813607,0.8000360082082622,2.356188758381867,1.0
2024-08-15,Phayathai,Test,1.3368220447552577,0.8395495962441347,0.43388373911755823,1.4174931984208026,0.7709322496634868,0.8209442534990997,2.4118697083968716,1.0
2024-08-16,Phayathai,Test,1.7125780074928871,0.6050499524322578,-0.433883739117558,1.8681991658709498,0.8145492828649459,0.8072496346158825,2.350761600864098,1.0
2024-08-17,Phayathai,Test,0.29357412336569005,0.04225080728375183,-0.9749279121818236,0.27627415255942356,0.8501502126672175,0.7797476839368298,2.1474701728272745,0.0
2024-08-18,Phayathai,Test,-0.3732510101527296,0.08915073604612787,-0.7818314824680299,-0.39058671764742714,0.9019012331413813,0.785496042480402,2.1332198756180194,0.0
2024-08-19,Phayathai,Test,0.96873457105309,0.27675045109562874,0.0,-0.6100266493214056,0.9291913498606723,0.7929350947132607,2.081012875548257,1.0
2024-08-20,Phayathai,Test,0.964066795118461,0.08915073604612787,0.7818314824680298,1.1310386768344114,1.2824303768557301,1.0648549964067684,0.8290213370222003,1.0
2024-08-21,Phayathai,Test,0.9980748769279004,-0.051549050240996944,0.9749279121818236,1.1573189081726125,1.2515448019941564,1.0372966892714055,0.7885997311013853,1.0
2024-08-22,Phayathai,Test,1.145109818868712,0.37055030862038085,0.43388373911755823,1.337666995731017,1.2317992531799824,1.010978224174853,0.7373020187178551,1.0
2024-08-23,Phayathai,Test,1.640894305639657,1.0740492400560115,-0.433883739117558,1.7078897547079237,1.2075741171721448,0.9785732617968703,0.6176940111645522,1.0
2024-08-24,Phayathai,Test,0.09619388384423784,0.13605066480850392,-0.9749279121818236,0.30978144751562986,1.1732699099785653,0.96645662369032,0.5210910806066459,0.0
2024-08-25,Phayathai,Test,-0.3069019093676469,0.18295059357087998,-0.7818314824680299,-0.34722433593939545,1.1558820386347404,0.9330936015550748,0.7023085625393723,0.0
2024-08-26,Phayathai,Test,0.952730767848648,0.3236503798580048,0.0,0.974999803263843,1.1792230455911972,0.9443085363606728,0.5886356886416012,1.0
2024-08-27,Phayathai,Test,0.9043859456685625,-0.004649121478620891,0.7818314824680298,0.9704007627796578,1.1565893418758455,0.9416034264578149,0.5842902106397416,1.0
2024-08-28,Phayathai,Test,0.9737357595544781,-0.6143481953895029,0.9749279121818236,1.0039080577358641,1.1818164908085809,0.9315156207784079,0.5700033873322431,1.0
2024-08-29,Phayathai,Test,1.05742231381104,-1.3178471268251337,0.43388373911755823,1.1487778329876972,1.1773369036149175,0.9274015994678121,0.5619751912184733,1.0
2024-08-30,Phayathai,Test,1.7342498243322357,-0.426748480340002,-0.433883739117558,1.6372616329865084,1.1518739869351466,0.9125798514584039,0.5159034192653821,1.0
2024-08-31,Phayathai,Test,0.4209377238677082,0.08915073604612787,-0.9749279121818236,0.11530773561294234,1.1580628902948131,0.9283596592250739,0.6492415312405806,0.0
2024-09-01,Phayathai,Test,-0.20787837704016154,0.5581500236698818,-0.7818314824680299,-0.28185226048562045,1.1946658330219837,0.9832508476705611,0.37366049767967424,0.0
2024-09-02,Phayathai,Test,1.0030760654292885,-0.6612481241518773,0.0,0.9592316644609223,1.230856182191843,0.9999887151944935,0.19408036913142454,1.0
2024-09-03,Phayathai,Test,0.9827378988569768,-1.177147340538007,0.7818314824680298,0.911598745160433,1.2716440024288829,1.008498540097233,0.20619552188233406,1.0
2024-09-04,Phayathai,Test,0.9907398004591979,-0.8957477679637542,0.9749279121818236,0.9799273466397557,1.2658676926265275,1.021742307329974,0.21917039945322067,1.0
2024-09-05,Phayathai,Test,1.1034332480238107,-0.1922488365281251,0.43388373911755823,1.0623815724633614,1.2757109960652353,1.0246164866017602,0.22290170452789934,1.0
2024-09-06,Phayathai,Test,1.4998607899005112,0.18295059357087998,-0.433883739117558,1.729242442670212,1.2674001829822539,1.0323936775724762,0.24028259502068572,1.0
2024-09-07,Phayathai,Test,-0.12385841021684066,-0.09844897900337299,-0.9749279121818236,0.43526955215553964,1.2315634854329478,0.9927750887868733,-0.07999215761131684,0.0
2024-09-08,Phayathai,Test,-0.7096642900127723,-0.5205483378647507,-0.7818314824680299,-0.18428690164254918,1.186355019939003,0.9006886391770921,0.5139381908064311,0.0
2024-09-09,Phayathai,Test,0.6850004767410024,-0.3329486228152499,0.0,1.0088356011117767,1.1392014705320208,0.8158721724312414,1.3540157994863442,1.0
2024-09-10,Phayathai,Test,0.6960030914440564,-0.28604869405287386,0.7818314824680298,0.9887969247163985,1.068235378674512,0.762108113111945,1.2750956859614806,1.0
2024-09-11,Phayathai,Test,0.7616853670956207,-0.4736484091023747,0.9749279121818236,0.9966809941178588,1.0148929259078625,0.7136415606857446,1.18792091541954,1.0
2024-09-12,Phayathai,Test,1.0364173221052095,-0.426748480340002,0.43388373911755823,1.107714971521758,0.9544184987934078,0.6749246752010939,1.0939015491181032,1.0
2024-09-13,Phayathai,Test,1.494859601399123,-0.5674482666271268,-0.433883739117558,1.4983049097857706,0.9376789887539287,0.6635970274828771,1.0460211832507176,1.0
2024-09-14,Phayathai,Test,0.24923025198671517,-0.5205483378647507,-0.9749279121818236,-0.101504172927216,0.8911738006512927,0.6627516806382342,1.0394118933317607,0.0
2024-09-15,Phayathai,Test,-0.3555801441144915,-0.004649121478620891,-0.7818314824680299,-0.6786837536924557,0.8519184707699791,0.7258145552486043,0.764387056453804,0.0
2024-09-16,Phayathai,Test,0.8600420742895876,0.5112500949075056,0.0,0.6954438424037297,0.8075941343274159,0.785665111849331,0.10352349329503194,1.0
2024-09-17,Phayathai,Test,1.067091278247057,0.08915073604612787,0.7818314824680298,0.7062844378307376,0.8538635546830173,0.815252251411837,0.13643091573886068,1.0
2024-09-18,Phayathai,Test,0.8883821424641204,-1.0364475542508806,0.9749279121818236,0.7709995075010576,0.9504104470938141,0.8779769872843498,0.24935702075709867,1.0
2024-09-19,Phayathai,Test,0.9880724999251241,-0.14534890776574905,0.43388373911755823,1.041685890284528,1.0486077137338552,0.899392440681973,0.26759174319179957,1.0
2024-09-20,Phayathai,Test,1.2004563049507408,-0.5674482666271268,-0.433883739117558,1.493377366409858,1.0681764367377533,0.8912207545170902,0.24583493073112744,1.0
2024-09-21,Phayathai,Test,-0.05517542146444343,-0.9426476967261302,-0.9749279121818236,0.26609056291587063,1.1051330310854754,0.8414580035957706,-0.0803075912724732,0.0
2024-09-22,Phayathai,Test,-0.7643439509612827,-0.9895476254885046,-0.7818314824680299,-0.3298136826778373,1.1271773154332403,0.7900045589851652,0.23271532568234013,0.0
2024-09-23,Phayathai,Test,0.6703303238035971,-0.4736484091023747,0.0,0.8679078605606738,1.132187380057732,0.7209115435496742,0.98061728500941,1.0
2024-09-24,Phayathai,Test,0.6803327008063735,-1.5054468418746345,0.7818314824680298,1.0719081563234591,1.0468394556310936,0.6888447199095489,0.9318530632525235,1.0
2024-09-25,Phayathai,Test,0.8016948751067259,-0.8019479104390037,0.9749279121818236,0.8958306063575124,0.9142790398607141,0.6234712305904877,0.745263447304695,1.0
2024-09-26,Phayathai,Test,0.9964078140941044,-0.1922488365281251,0.43388373911755823,0.9940529709840387,0.830051012232491,0.6088185519500087,0.7016331539703343,1.0
2024-09-27,Phayathai,Test,1.4031711455403404,-0.6143481953895029,-0.433883739117558,1.2033093130144643,0.8019946503353363,0.6102274633577474,0.7077645742187124,1.0
2024-09-28,Phayathai,Test,0.3275822051751295,-0.28604869405287386,-0.9749279121818236,-0.03383257723134839,0.778712585315639,0.6444921887939449,0.940166751615381,0.0
2024-09-29,Phayathai,Test,-0.31290333556931266,-0.004649121478620891,-0.7818314824680299,-0.7325582279357677,0.8006979277266445,0.7091894006372914,0.7022323688910324,0.0
2024-09-30,Phayathai,Test,1.0954313464215897,0.8395495962441347,0.0,0.6809897151677191,0.79209240495987,0.785496042480402,-0.17800033211174868,1.0
2024-10-01,Phayathai,Test,1.1124353873263095,-0.09844897900337299,0.7818314824680298,0.6908448019195444,0.8360041478451229,0.8573505242750594,-0.019637764964801806,1.0
2024-10-02,Phayathai,Test,1.079760955783907,-0.5205483378647507,0.9749279121818236,0.8104198545083591,0.8704851808489785,0.930388491652217,0.09816445995240683,1.0
2024-10-03,Phayathai,Test,1.3831663915347878,-0.5205483378647507,0.43388373911755823,1.0022655432772265,0.9034337234971076,0.9773897762143701,0.1689128946775119,1.0
2024-10-04,Phayathai,Test,1.6825708764845582,-1.0833474830132568,-0.433883739117558,1.403039071184792,0.9978587061845903,1.0427632655334305,0.3939779516958192,1.0
2024-10-05,Phayathai,Test,0.3402518827119794,-0.09844897900337299,-0.9749279121818236,0.3432887424718361,1.0977063470538757,1.0899899759208214,0.6801177106562735,0.0
2024-10-06,Phayathai,Test,-0.49894754782095174,0.08915073604612787,-0.7818314824680299,-0.28776531253671567,1.138729935037951,1.0921315212605833,0.6690377701388444,0.0
2024-10-07,Phayathai,Test,0.9217233991400414,0.18295059357087998,0.0,1.0998309021202977,1.172562606737461,1.060684618639863,1.0224718590011153,1.0
2024-10-08,Phayathai,Test,0.9887393250586426,-0.051549050240996944,0.7818314824680298,1.1165845495984008,1.2163564657491959,1.031322904902595,0.9892744796034066,1.0
2024-10-09,Phayathai,Test,0.8887155550308796,-0.8488478392013799,0.9749279121818236,1.0843912662091046,1.2813694219940726,1.0104146596117574,0.9543790832233641,1.0
