Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-11-27,Suvarnabhumi,Train,-0.4228434798845035,-0.7818314824680299,-0.05004502400381567,-0.4785019328431507,0.14983686603661694,-0.137257467313225,-0.441123422712026,0.0
2022-11-28,Suvarnabhumi,Train,0.24843899748544593,0.0,0.1970501349092718,0.10595908389317961,0.11442350514374668,-0.12470670323795355,-0.7060516320400689,1.0
2022-11-29,Suvarnabhumi,Train,-0.1250840800316922,0.7818314824680298,-0.007071952888496106,-0.17524007378160936,0.0758611427720648,-0.10079482097132277,-0.27202062293736834,1.0
2022-11-30,Suvarnabhumi,Train,0.1311274965858431,0.9749279121818236,0.09377614142245545,-0.10664512947007025,0.04648766996150574,-0.0897311142509409,-0.30839142736485053,1.0
2022-12-01,Suvarnabhumi,Train,0.01422332728658615,0.43388373911755823,0.34225752843603713,-0.05209008604100991,0.0378150101510069,-0.05142451678897464,-0.13206196974879608,1.0
2022-12-02,Suvarnabhumi,Train,0.9832652045093468,-0.433883739117558,0.6056408675299312,0.10956934412010272,-0.0029671401483627523,-0.03827892977174677,-0.11356844309806656,1.0
2022-12-03,Suvarnabhumi,Train,-0.02488050634661479,-0.9749279121818236,-0.1120787315009302,-0.25947947907648194,0.058515823151067105,0.09240367057598525,2.4076228012071135,0.0
2022-12-04,Suvarnabhumi,Train,-0.4313974434917662,-0.7818314824680299,-0.28778314323856746,-0.39386138752306443,0.1199471634754339,0.13059130344956052,2.130329094171062,0.0
2022-12-05,Suvarnabhumi,Train,-0.012253226735893652,0.0,-0.06182796285801619,0.2672173740290786,0.08484354043293803,0.12934217527145292,2.15033145583202,0.0
2022-12-06,Suvarnabhumi,Train,0.008113353281398502,0.7818314824680298,-0.20426290018379314,-0.10062802909186506,0.06135508677950366,0.0912735069862694,2.1243701037718172,1.0
2022-12-07,Suvarnabhumi,Train,-0.1609292608621264,0.9749279121818236,0.03555456120169991,0.15168904676753903,0.12660652725849522,0.11072421718822999,2.0403026062503855,1.0
2022-12-08,Suvarnabhumi,Train,0.020333301291773794,0.43388373911755823,0.06847747858843668,0.036561859531213145,0.1349178262435566,0.06807541224998527,2.1541809427818674,1.0
2022-12-09,Suvarnabhumi,Train,0.17878529382630676,-0.433883739117558,1.0183902844520731,0.9908739795145555,0.17621620629355092,0.06896764666291917,2.1532099656279367,1.0
2022-12-10,Suvarnabhumi,Train,-0.2366929385264532,-0.9749279121818236,0.3003241283960882,-0.0019475828893000375,0.1109131428394976,-0.04850988437339025,-0.6662780305932174,0.0
2022-12-11,Suvarnabhumi,Train,-0.19310845728944798,-0.7818314824680299,-0.523441920322578,-0.4022853280525517,0.06362649768225383,-0.07944067735510191,-0.553239822191068,0.0
2022-12-12,Suvarnabhumi,Train,-0.05868902917531976,0.0,-0.2195114092892291,0.010487757892324012,0.07684197929825169,-0.044643535250676485,-1.1718631769565455,0.0
2022-12-13,Suvarnabhumi,Train,0.40363233721721214,0.7818314824680298,0.23378517957236758,0.03054475915300796,0.09408405296912457,-0.05142451678897464,-1.1865239730880077,1.0
2022-12-14,Suvarnabhumi,Train,0.18733925743356947,0.9749279121818236,0.09135024224659063,-0.13592835131066883,0.09950446535068636,0.006332790874952942,-0.22645317334230394,1.0
2022-12-15,Suvarnabhumi,Train,0.105465605764055,0.43388373911755823,0.3457230986872726,0.04257895990941833,0.12030852430087136,0.05719015241219063,-0.24083582886294988,1.0
2022-12-16,Suvarnabhumi,Train,0.23825570747679986,-0.433883739117558,0.5799956476707889,0.19862242971753946,0.08979934603893755,0.06962195189907108,-0.23117917544573194,1.0
2022-12-17,Suvarnabhumi,Train,-0.19351578888979382,-0.9749279121818236,-0.017122106617078907,-0.2105403960004131,0.08019747267731421,0.07830636685162876,-0.15910665998773846,0.0
2022-12-18,Suvarnabhumi,Train,-0.24361757573233253,-0.7818314824680299,-0.4347233218909505,-0.16761841330254945,0.07286701021843972,0.08461149003636223,-0.25861624825782903,0.0
2022-12-19,Suvarnabhumi,Train,0.2435510182812958,0.0,-0.10376136289796513,-0.0352422049820354,0.09656195577212434,0.07723568555610764,-0.14147205578656596,1.0
2022-12-20,Suvarnabhumi,Train,0.22522109626573286,0.7818314824680298,0.2701736672103398,0.42005172363549026,0.12645165833330804,0.12137154784924266,-0.12191759507273739,1.0
2022-12-21,Suvarnabhumi,Train,0.0969116421567923,0.9749279121818236,0.2310127233713792,0.2070463702470267,0.09563274222099918,0.09531830299156964,-0.45471494284841657,1.0
2022-12-22,Suvarnabhumi,Train,0.06595444053050822,0.43388373911755823,0.14090789683925756,0.12641722517907725,0.08334647415612582,0.08211323368014703,-0.5109869403613122,1.0
2022-12-23,Suvarnabhumi,Train,0.11850021697512197,-0.433883739117558,0.5155360409978096,0.2571888733987366,0.09176101909131266,0.07634345114317376,-0.5186857613939989,1.0
2022-12-24,Suvarnabhumi,Train,-0.23465628052472398,-0.9749279121818236,-0.06633320418462228,-0.16801955332776314,0.0796296199516265,0.05885565664966742,-0.6619230676011906,0.0
2022-12-25,Suvarnabhumi,Train,-0.6077720264415163,-0.7818314824680299,-0.27565364735924336,-0.21735977642904566,0.09800739907387414,0.05284794493591141,-0.5603479520548985,0.0
2022-12-26,Suvarnabhumi,Train,-0.00817991073243522,0.0,0.09689515464856735,0.2624036937265144,0.09325808536812487,-0.0003292260749542311,0.6336594301074221,1.0
2022-12-27,Suvarnabhumi,Train,0.09365298935402555,0.7818314824680298,0.06327912321158351,0.24435239259189886,0.0871149513356882,-0.037089283887835424,0.3933229128076185,1.0
2022-12-28,Suvarnabhumi,Train,-0.10186617881197914,0.9749279121818236,0.14853215139197554,0.11799328464958998,0.08200427680450147,-0.05630206491301404,0.1965503037322139,1.0
2022-12-29,Suvarnabhumi,Train,-0.05217172356978628,0.43388373911755823,0.19739669193439538,0.08750664273335038,0.06372974363237863,-0.08532942448046618,0.08223220424766224,1.0
2022-12-30,Suvarnabhumi,Train,0.10057762655990489,-0.433883739117558,0.43409514009377653,0.13925370598591497,0.06693036808625329,-0.10257928979719054,-0.01652663783901085,0.0
2022-12-31,Suvarnabhumi,Train,-0.4550226763118251,-0.9749279121818236,0.05704109675935969,-0.20853469587434473,0.07503517517106442,-0.10519651074179671,-0.0472816576756703,0.0
2023-01-01,Suvarnabhumi,Train,-0.3523751130246726,-0.7818314824680299,-0.3075368936706095,-0.5759789589700747,0.08474029448281323,-0.13737643190161597,0.29393411967984345,0.0
2023-01-02,Suvarnabhumi,Train,-0.31245661619078,0.0,0.055654868658865514,0.0144991581444608,0.07286701021843972,-0.10008103344097535,-0.39774980879921656,0.0
