Date,Station_Name,Dataset_Type,Passenger_Arrival_Filled,Passenger_Arrival_Diff,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_National Holiday,holiday_category_Special Public Holiday,holiday_category_Weekday,holiday_category_Weekend
2024-06-29,Huamak,Train,4805.0,-2363.0,57.0,13.9,30.7,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,5487.0,5811.0,6349.714285714285,955.7992666324903,6218.285714285715,836.9929737430274,0.0,0.0,0.0,1.0
2024-06-30,Huamak,Train,4252.0,-553.0,50.0,7.9,32.4,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,4565.0,4540.0,6252.285714285715,1084.4916957244106,6074.0,991.6679551812172,0.0,0.0,0.0,1.0
2024-07-01,Huamak,Train,7008.0,2756.0,46.0,0.3,31.0,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,6991.0,6416.0,6207.571428571428,1168.8275973730783,6017.0,1100.0774215178214,0.0,0.0,1.0,0.0
2024-07-02,Huamak,Train,7116.0,108.0,54.0,14.2,32.9,0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,6729.0,6787.0,6210.0,1170.742784161678,6104.0,1159.374975291987,0.0,0.0,1.0,0.0
2024-07-03,Huamak,Train,6982.0,-134.0,56.0,0.8,32.6,0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,6743.0,6341.0,6265.285714285715,1207.884612906054,6089.142857142857,1149.7904778076334,0.0,0.0,1.0,0.0
2024-07-04,Huamak,Train,6870.0,-112.0,59.0,3.1,30.0,0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,6765.0,6564.0,6299.428571428572,1226.8672649126534,6182.142857142857,1198.8386642318067,0.0,0.0,1.0,0.0
2024-07-05,Huamak,Train,7138.0,268.0,43.0,17.3,31.4,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,7168.0,7069.0,6314.428571428572,1234.1285531557298,6197.571428571428,1205.249885174956,0.0,0.0,1.0,0.0
2024-07-06,Huamak,Train,4649.0,-2489.0,61.0,2.1,32.2,0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,4805.0,4801.0,6310.142857142857,1230.7177348430112,6207.857142857143,1214.2002070734059,0.0,0.0,0.0,1.0
2024-07-07,Huamak,Train,4006.0,-643.0,53.0,0.3,32.9,0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,4252.0,4141.0,6287.857142857143,1263.4912515950052,6177.285714285715,1257.4498948646813,0.0,0.0,0.0,1.0
2024-07-08,Huamak,Train,6656.0,2650.0,53.0,1.3,32.1,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,7008.0,7025.0,6252.714285714285,1331.1632399629063,6169.857142857143,1271.5589419516118,0.0,0.0,1.0,0.0
2024-07-09,Huamak,Train,7002.0,346.0,59.0,1.8,32.5,0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,7116.0,6683.0,6202.428571428572,1304.253024677698,6088.285714285715,1225.0213214859573,0.0,0.0,1.0,0.0
2024-07-10,Huamak,Train,7049.0,47.0,54.0,17.0,30.3,0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,6982.0,6992.0,6186.142857142857,1291.5946769493055,6115.428571428572,1242.37660113493,0.0,0.0,1.0,0.0
2024-07-11,Huamak,Train,7022.0,-27.0,56.0,6.7,30.7,0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,6870.0,6672.0,6195.714285714285,1298.7040610143674,6101.857142857143,1231.6780462132838,0.0,0.0,1.0,0.0
2024-07-12,Huamak,Train,6998.0,-24.0,51.0,21.6,31.1,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,7138.0,7141.0,6217.428571428572,1313.048597367055,6157.142857142857,1269.635699531078,0.0,0.0,1.0,0.0
2024-07-13,Huamak,Train,4507.0,-2491.0,62.0,9.9,31.6,0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,4649.0,4587.0,6197.428571428572,1297.6658348926317,6129.285714285715,1246.3772454980071,0.0,0.0,0.0,1.0
2024-07-14,Huamak,Test,3894.0,-613.0,56.0,10.3,32.1,0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,4006.0,4089.0,6177.142857142857,1326.6911758922827,6113.571428571428,1269.5413682563667,0.0,0.0,0.0,1.0
2024-07-15,Huamak,Test,6564.0,2670.0,59.0,19.3,29.6,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,6656.0,6454.0,6161.142857142857,1357.5556991116232,6107.142857142857,1281.5588721775935,0.0,0.0,1.0,0.0
2024-07-16,Huamak,Test,6844.0,280.0,56.0,30.6,30.1,0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,7002.0,6873.0,6148.0,1352.4019372952598,6153.285714285715,1301.7842517465015,0.0,0.0,1.0,0.0
2024-07-17,Huamak,Test,6887.0,43.0,50.0,25.4,31.9,0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,7049.0,6897.0,6125.428571428572,1337.004095872905,6154.428571428572,1302.524709572751,0.0,0.0,1.0,0.0
2024-07-18,Huamak,Test,7147.0,260.0,50.0,8.7,31.2,0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,7022.0,7059.0,6102.285714285715,1319.6424660093394,6143.0,1295.2540291386708,0.0,0.0,1.0,0.0
