Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-04-07,Phayathai,Train,-1.3421897042044075,0.43388373911755823,-1.246607746824732,-1.4526365666024754,-1.906917821159051,-0.87380791724974,-2.081131464160421,-0.7894203638774477,1.0
2022-04-08,Phayathai,Train,-1.1294998279853798,-0.433883739117558,-1.098609241509375,-1.17603713176791,-1.916643240724241,-0.9104177282076064,-2.0925718247912566,-0.828625234609276,1.0
2022-04-09,Phayathai,Train,-2.0479490026759466,-0.9749279121818236,-1.8020254784430065,-1.9857967598762285,-1.9156412277993429,-0.9041964196221601,-2.1264420550332876,-1.0670996397749706,0.0
2022-04-10,Phayathai,Train,-2.324205320091291,-0.7818314824680299,-2.0695742637957117,-2.205893697333662,-1.9497686091826465,-0.7621022176049171,-2.1564800462462697,-0.930447140382397,0.0
2022-04-11,Phayathai,Train,-1.5847729879049461,0.0,-1.3241630276421619,-1.5088105610878801,-1.984721177680572,-0.5253438830777716,-2.1850527695952042,-0.7307597403383412,1.0
2022-04-12,Phayathai,Train,-1.7119058702975798,0.7818314824680298,-1.2340769809284662,-1.4424529769589225,-2.022561901079676,-0.6148134875740358,-2.2295180136234274,-0.8495528438940282,1.0
2022-04-13,Phayathai,Train,-2.4650822978777227,0.9749279121818236,-2.1159719645467505,-2.294917980991818,-2.0978896962573303,-0.8299464019809,-2.2980474644958226,-1.090198543257903,0.0
2022-04-14,Phayathai,Train,-2.633791068836596,0.43388373911755823,-1.3024881893351072,-1.5193226536231605,-2.1489334134903886,-0.5032388278403612,-2.3442597586696414,-0.7459419184408017,0.0
2022-04-15,Phayathai,Train,-2.6540636095424484,-0.433883739117558,-1.0928518625840635,-1.373467369696145,-2.3704961537664477,-0.27565581499503616,-2.535420858471585,-0.6070410410439104,0.0
2022-04-16,Phayathai,Train,-2.6021796494308598,-0.9749279121818236,-1.9981150312521412,-2.1608888011669927,-2.632021527164925,-0.8878160086061633,-2.736275268758769,-1.2853224519228836,0.0
2022-04-17,Phayathai,Train,-2.455461431102064,-0.7818314824680299,-2.270405187484515,-2.372444663439511,-2.7270948711567535,-0.7881454616234551,-2.777133699583182,-1.2898035664459215,0.0
2022-04-18,Phayathai,Train,-1.59336304752607,0.0,-1.5415887494098035,-1.7679993426608875,-2.7496106909985873,-0.7606971562011485,-2.7556618897292493,-1.2955135099961974,1.0
2022-04-19,Phayathai,Train,-1.616040804925837,0.7818314824680298,-1.666896408372463,-1.841912493299578,-2.7510842394175556,-0.7736999785379669,-2.705448287157453,-0.7954825808264704,1.0
2022-04-20,Phayathai,Train,-1.6033275166865737,0.9749279121818236,-2.4092596203890833,-2.564290352208378,-2.734639439061871,-0.647828773916524,-2.6375387573044633,-0.2961517553858886,1.0
2022-04-21,Phayathai,Train,-1.5655312543536286,0.43388373911755823,-2.575546270526018,-2.6336044623628836,-2.5868130616709806,-0.32888894625142884,-2.4502662529878774,-0.10065782909331235,1.0
2022-04-22,Phayathai,Train,-1.3274148016560743,-0.433883739117558,-2.595527762090334,-2.544251675813,-2.4035625802880944,-0.34937240484801557,-2.2647971552731967,-0.4025550254334684,1.0
2022-04-23,Phayathai,Train,-1.9531147444587387,-0.9749279121818236,-2.544388690459627,-2.3990533976694395,-2.175987762462645,-0.5313534130578076,-2.051037116491129,-0.7752416729912882,0.0
2022-04-24,Phayathai,Train,-2.260295276510129,-0.7818314824680299,-2.399776878629747,-2.2472850616913287,-2.0646464439254077,-1.2569013603747465,-1.9646426689686114,-1.440467063571652,0.0
2022-04-25,Phayathai,Train,-1.331538030274214,0.0,-1.5500554831234967,-1.4753032661316738,-2.0311674238464503,-1.6140136515634684,-1.9657697980948021,-1.4275383075836099,1.0
