Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-10-13,Makkasan,Train,-0.41643795379205023,1.1660499443151275,1.2183067278468713,0.8904402995458626,0.8066048961553064,0.8147638149445124,0.9312091351832679,0.0
2023-10-14,Makkasan,Train,-0.33820192698627555,-0.2952641617808246,-0.352212868913589,0.5914515296586697,1.0804667482557262,0.518377930277323,1.0326999235681207,0.0
2023-10-15,Makkasan,Train,-0.5481119810499836,-0.7596619006560881,-0.8508731844031279,0.58740845385217,1.0959600286970734,0.5143323438633445,1.0491003745234955,0.0
2023-10-16,Makkasan,Train,1.0969401897321542,1.108648585675296,0.941960378074927,0.6325450870362049,0.8354872383023219,0.5921943223846908,0.5809712540358937,1.0
2023-10-17,Makkasan,Train,1.1123079807118599,1.1605172832414088,0.9553057259437725,0.6317497278611556,0.8328049712669796,0.6185839937620302,0.6662584463541441,1.0
2023-10-18,Makkasan,Train,1.048042672978545,0.9554630321967094,1.0617430126050513,0.623928695973173,0.8047858050208241,0.6536872358771694,0.7798007372520422,1.0
2023-10-19,Makkasan,Train,1.0442007252336185,1.3686836561400748,1.3459012733246123,0.6432161559681132,0.8592901661490718,0.6543096337870127,0.7817981963200511,1.0
2023-10-20,Makkasan,Train,1.474149604688568,-0.39381468715643897,-0.3317066026760949,0.5825700188706219,0.6105983064655861,0.6195175906267945,0.6272156583409211,1.0
2023-10-21,Makkasan,Train,0.07253721374404166,-0.31635743212437717,-0.3733701277300512,0.9413432867490028,0.5404243562477451,0.9642015530977931,0.5651587771590925,0.0
2023-10-22,Makkasan,Train,-0.3535697179659813,-0.5241780137059359,-0.44367732625860234,1.019288485903811,0.13805465726115215,1.0622914636890342,0.01410958172876605,0.0
2023-10-23,Makkasan,Train,-0.8530229248064181,1.104499089870007,1.0799708048161571,1.0562064076123385,-0.15905781759220322,1.0661503307300604,-0.01869433973045001,0.0
2023-10-24,Makkasan,Train,1.0676016796799888,1.1197139078227334,1.1388856332127673,0.6861655514207621,0.9822256006600506,0.7234580415705593,1.0048066069021815,1.0
2023-10-25,Makkasan,Train,1.0780797189843336,1.0560883054749683,1.0649979754998917,0.677681720220239,0.9565064149715384,0.7512169883495521,1.1015010378820718,1.0
2023-10-26,Makkasan,Train,1.0885577582886783,1.0522846009867866,1.1639488475030377,0.6833817943080903,0.9730420518893472,0.7876687592693519,1.211448473165443,1.0
