Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Compensatory Holiday,holiday_category_National Holiday,holiday_category_Religious Holiday,holiday_category_Weekday,holiday_category_Weekend
2024-07-08,Suvarnabhumi,Train,1.8691586111898635,-0.9330376153407742,-0.5942293495454143,-0.17952962928198207,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0.7032286548498042,1.2728061703377478,0.8576773076254871,0.5403331018302086,0.8726968667941809,0.3171470881107663,0.0,0.0,0.0,1.0,0.0
2024-07-09,Suvarnabhumi,Train,-0.9041709079318777,-0.7248888516216427,-0.6475928763940514,-0.0268600743655293,0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0.601786961388425,0.9785327251033312,0.8593321298324292,0.5329014495266239,0.8526670452034919,-0.048354133732261245,0.0,0.0,0.0,1.0,0.0
2024-07-10,Suvarnabhumi,Train,0.30178488030324113,-0.8983461547209189,1.1000626278988117,-1.1464368104195248,0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0.8102287972679715,0.8703912541087163,0.8727775602638324,0.437332825239792,0.8328756738698345,-0.145124103563808,0.0,0.0,0.0,1.0,0.0
2024-07-11,Suvarnabhumi,Train,-0.8943364060910205,-0.8289632334812085,0.37965501544221164,-0.7902078489477986,0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,1.088151245107367,0.7172243379416224,0.8916011628677969,0.45005967642908573,0.844202061078855,-0.08879945893728587,0.0,0.0,0.0,1.0,0.0
2024-07-12,Suvarnabhumi,Train,1.2102469878524285,-1.0024205365804848,1.2868349718690413,-0.7393179973089816,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,1.4160997335578533,1.0468749186687012,0.8912391705100283,0.4470548683206493,0.8353197890044127,-0.026237002968843896,0.0,0.0,0.0,1.0,0.0
2024-07-13,Suvarnabhumi,Train,-1.6282361059649917,-0.620814469762077,1.0200173376258561,-0.6375382940313441,0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0.7174721803015733,0.5447608024148948,0.9078908189673814,0.8000765445014615,0.8366908779823465,-0.009139490118325632,0.0,0.0,0.0,0.0,1.0
2024-07-14,Suvarnabhumi,Test,0.7332736485708524,-0.8289632334812085,-0.10061672619552169,-0.2813093325596179,0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,0.4857543394154774,0.5234541185386323,0.9325580124896096,0.7234544874330071,0.8340083125907367,0.029956971472816313,0.0,0.0,0.0,0.0,1.0
2024-07-15,Suvarnabhumi,Test,1.4979061666975027,-0.7248888516216427,1.6603796598095004,-1.5026657718912528,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0.7143455527633801,1.1377298348203106,0.9197848535797767,0.917349569304633,0.8704912019166343,-0.34349937384945306,0.0,0.0,0.0,1.0,0.0
2024-07-16,Suvarnabhumi,Test,-0.8611449623781273,-0.8289632334812085,4.288533357104876,-1.1973266620583436,0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0.6921117569362285,0.8450644411991969,0.9131655647520085,0.959304955092462,0.8889710968366158,0.009383732054088921,0.0,0.0,0.0,1.0,0.0
2024-07-17,Suvarnabhumi,Test,-0.07930206602997682,-1.03711199720034,1.1801079181717673,-0.4339788874760725,0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0.9366835110348964,0.9467737057406004,0.9238701959031644,0.9031070670332151,0.9095374315056266,0.05021569882058041,0.0,0.0,0.0,1.0,0.0
2024-07-18,Suvarnabhumi,Test,-0.046110622317083634,-1.03711199720034,0.16620090804766352,-0.7902078489477986,0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,1.0857194236887722,0.6573244153460923,0.8813619504623438,1.0138337756231008,0.9116238712546567,0.05738324654979795,0.0,0.0,0.0,1.0,0.0
2024-07-19,Suvarnabhumi,Test,1.808922287414613,-1.1064949184400505,0.3529732520178931,-1.1464368104195248,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,1.5279635188132101,1.0561212154451924,0.8761906310656499,0.9782458965696841,0.9548429803417091,-0.18819885762602087,0.0,0.0,0.0,1.0,0.0
2024-07-20,Suvarnabhumi,Test,-2.3793461840604633,-1.03711199720034,1.620357014673023,-0.9428774038642532,1,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0.8831834398258128,0.5266702217652379,0.85695332290995,0.5730641505637863,1.0270934082224086,0.9348028809930915,0.0,0.0,1.0,0.0,0.0
2024-07-21,Suvarnabhumi,Test,-1.0074331772608787,-0.7248888516216427,2.194014928295871,-0.6884281456701629,1,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,0.3999457836450641,0.7694860153739642,0.8121179837406169,0.6947114812750645,1.0629205593414686,0.37062843245383925,0.0,0.0,1.0,0.0,0.0
2024-07-22,Suvarnabhumi,Test,0.3595625786182774,-0.4473571666628008,0.03279209092607092,-0.8919875522254345,1,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0.6698779611090768,1.2623538348512795,0.7713679868946722,1.3458861819680925,1.0143363194711956,1.1810810579237268,1.0,0.0,0.0,0.0,0.0
2024-07-23,Suvarnabhumi,Test,1.111901969443856,-0.37797424542309027,0.5130638325638044,-0.4339788874760725,0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0.7640241903146721,0.9837588928465654,0.7814520597182247,1.331165419772666,0.9105508450980123,1.274765046911671,0.0,0.0,0.0,1.0,0.0
2024-07-24,Suvarnabhumi,Test,-0.1960867753901565,-1.2452607609194715,-0.5675475861210958,-1.3499962169747983,0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0.6511181958799177,0.9608441573570001,0.7913292797659093,1.3409029731454152,0.9024435363589242,1.253189023483496,0.0,0.0,0.0,1.0,0.0
2024-07-25,Suvarnabhumi,Test,0.8795618634536038,-1.0024205365804848,-0.167321134756318,-1.451775920252434,0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,1.0509791177088477,0.9487837702572289,0.8443353035820177,1.3954920624419418,0.8886730340153255,1.2321714794055953,0.0,0.0,0.0,1.0,0.0
2024-07-26,Suvarnabhumi,Test,0.8598928597718893,-0.759580312241498,0.05947385435038946,-1.4008860686136153,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,1.3987295805678912,1.5433608542759476,0.8576255944315202,1.4974946582931778,0.9197907925580034,1.4243861385712258,0.0,0.0,0.0,1.0,0.0
2024-07-27,Suvarnabhumi,Test,-1.7007655570413138,-0.8983461547209189,2.1673331648715526,-0.4339788874760725,1,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0.581984986979868,0.7682799766639871,0.8754149331561459,1.7956096438103781,0.9048876514935025,1.0970405525271885,0.0,0.0,0.0,0.0,1.0
2024-07-28,Suvarnabhumi,Test,-0.5452115907405884,-1.2105693002996163,1.8471520037797304,-1.8080048817241603,1,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,0.12619217252325965,0.44184549916351407,0.9026677863767206,1.6589377430809407,0.9228906458994193,1.0550564789301908,0.0,1.0,0.0,0.0,0.0
2024-07-29,Suvarnabhumi,Test,-0.40015268858794417,-1.9043985126967211,4.088420131422486,-0.8919875522254345,1,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0.7376215577699294,0.5624493701612258,0.9649821851068783,0.5636954831645482,0.9633079644663454,0.4875533844676055,1.0,0.0,0.0,0.0,0.0
2024-07-30,Suvarnabhumi,Test,1.325802384482501,-1.03711199720034,0.6731544131097154,-1.1464368104195248,0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0.8303781747363277,0.9290851379942694,0.9646719059430766,0.5659054600028524,0.9668847183218251,0.4285601223120006,0.0,0.0,0.0,1.0,0.0
