Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Compensatory Holiday,holiday_category_National Holiday,holiday_category_Religious Holiday,holiday_category_Weekday,holiday_category_Weekend
2023-11-07,Suvarnabhumi,Train,11279.0,-88.0,64.0,11.4,31.9,0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,11931.0,10324.0,12668.857142857143,1229.1966792138878,10594.42857142857,566.2351858674384,0.0,0.0,0.0,1.0,0.0
2023-11-08,Suvarnabhumi,Train,10581.0,-698.0,76.0,0.6,32.2,0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,12411.0,10080.0,12768.714285714286,1186.9304548969476,10730.857142857143,604.0075685429705,0.0,0.0,0.0,1.0,0.0
2023-11-09,Suvarnabhumi,Train,11603.0,1022.0,79.0,9.9,30.8,0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,13539.0,10774.0,12775.285714285714,1184.7452207522122,10802.42857142857,540.3603295157177,0.0,0.0,0.0,1.0,0.0
2023-11-10,Suvarnabhumi,Train,11356.0,-247.0,89.0,8.5,31.5,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,15060.0,11260.0,12778.142857142857,1186.91609203169,10920.857142857143,618.3128734903233,0.0,0.0,0.0,1.0,0.0
2023-11-11,Suvarnabhumi,Train,10398.0,-958.0,77.0,4.8,30.9,0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,11791.0,9889.0,12656.142857142857,929.1873561651149,10934.57142857143,628.0763905616925,0.0,0.0,0.0,0.0,1.0
2023-11-12,Suvarnabhumi,Train,10278.0,-120.0,70.0,8.1,31.5,0,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,11624.0,10467.0,12783.57142857143,848.4218402702683,11007.285714285714,504.07628863293803,0.0,0.0,0.0,0.0,1.0
2023-11-13,Suvarnabhumi,Train,11090.0,812.0,71.0,5.8,31.9,0,0.0,1.0,-0.5000000000000004,0.8660254037844384,12326.0,11367.0,12776.142857142857,860.4098691072252,10980.285714285714,541.5107614461199,0.0,0.0,0.0,1.0,0.0
2023-11-14,Suvarnabhumi,Train,10861.0,-229.0,59.0,0.0,31.8,0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,12630.0,11279.0,12812.142857142857,843.5432074630863,10940.714285714286,518.1588283804712,0.0,0.0,0.0,1.0,0.0
2023-11-15,Suvarnabhumi,Train,10855.0,-6.0,60.0,0.1,31.4,0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,12457.0,10581.0,12769.857142857143,861.425065143285,10881.0,496.30098394695614,0.0,0.0,0.0,1.0,0.0
2023-11-16,Suvarnabhumi,Train,11326.0,471.0,56.0,15.2,30.9,0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,13559.0,11603.0,12780.857142857143,857.2456724050069,10920.142857142857,479.2074806635017,0.0,0.0,0.0,1.0,0.0
