Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,Passenger_Arrival_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-07-30,Banthapchang,Train,-1.180460887876139,-1.2335318939898416,0.2947192951935535,0.27537972740508737,1.3201163830766434,0.0
2023-07-31,Banthapchang,Train,-0.27422575568076873,1.0172271895073137,0.27850375028052304,0.2868819578223525,1.2762181599098754,0.0
2023-08-01,Banthapchang,Train,-1.0369572769211237,1.0114362141638389,-0.019272619940577634,-0.03322266740706422,0.9942589920238764,0.0
2023-08-02,Banthapchang,Train,0.2162420653230162,1.1282208835905783,-0.5425924784974632,-0.5344262396317158,0.780203077105602,0.0
2023-08-03,Banthapchang,Train,1.0880756469469786,1.2121900260709608,-0.7477436906547406,-0.7475845948112431,0.048815958720615664,1.0
2023-08-04,Banthapchang,Train,0.9809393894531658,-0.9430179642588623,-0.7870541025651167,-0.7683865008850197,-0.072737042579638,1.0
2023-08-05,Banthapchang,Train,-0.6437966989621778,-0.9835547916631849,-0.31311794897064155,-0.2943477707096532,0.49784169572427733,0.0
2023-08-06,Banthapchang,Train,-0.9573422598844371,-1.2972326227680628,-0.2227040015767753,-0.19792481785002794,0.2731282976381331,0.0
2023-08-07,Banthapchang,Train,1.2895704431509383,-0.15254982987456975,-0.12565642217303416,-0.14237149221770626,0.08312288702746187,1.0
2023-08-08,Banthapchang,Train,1.302348161934604,-1.044360032769669,0.2325597063602705,0.2469912438220507,0.7208803367543007,1.0
2023-08-09,Banthapchang,Train,1.2394424694611728,0.3223101482903532,0.8045261996562475,0.8294446138878081,0.4016761983652048,1.0
2023-08-10,Banthapchang,Train,1.2119212290040464,1.0577640169116362,1.026138646800994,1.0842067812148886,0.5594148098930338,1.0
2023-08-11,Banthapchang,Train,1.1332891134122574,0.9187806086682443,1.0504619641705397,1.1150425478654287,0.6120778866043848,1.0
2023-08-12,Banthapchang,Train,-1.0340085725864316,-0.6283749705967385,1.0944404874952731,1.1529754354117283,0.6624628102193848,0.0
2023-08-13,Banthapchang,Train,-1.0340085725864316,-0.9159934126559804,0.9718411403497869,1.055818297631852,1.0964020986171013,0.0
2023-08-14,Banthapchang,Train,-1.1234526040720918,1.254657178589775,0.9234401956851356,1.0367294897053276,1.1842350170753093,0.0
2023-08-15,Banthapchang,Train,1.336749712506012,1.2025384004985031,0.33599522769944873,0.43592149663329627,1.7284598520058507,1.0
2023-08-16,Banthapchang,Train,1.336749712506012,1.1928867749260452,0.34950818179364024,0.4444869873695574,1.7523907374637744,1.0
2023-08-17,Banthapchang,Train,1.2836730344815541,1.1533151100789685,0.37505994953538535,0.46871508973783843,1.8170171285763042,1.0
2023-08-18,Banthapchang,Train,1.1421352264163336,1.0915447064152386,0.3804651311730617,0.4865802561306119,1.8618397901867414,1.0
2023-08-19,Banthapchang,Train,-0.6015319368315911,-1.1099910866623819,0.4136332912224424,0.48878281089136466,1.8666934204809311,0.0
