Date,Station_Name,Dataset_Type,Passenger_Arrival_Filled,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-08-26,Banthapchang,Train,2066.0,2082.0,2111.0,3437.285714285714,1077.4825156022541,3374.1428571428573,1028.2236184429025,0.0
2023-08-27,Banthapchang,Train,1612.0,1661.0,1671.0,3435.0,1080.8484321741528,3374.4285714285716,1027.814324532545,0.0
2023-08-28,Banthapchang,Train,3922.0,4011.0,3991.0,3428.0,1094.3270382598876,3363.5714285714284,1048.9904443706616,1.0
2023-08-29,Banthapchang,Train,4024.0,4106.0,3717.0,3415.285714285714,1086.9165429914858,3357.8571428571427,1045.104688308217,1.0
2023-08-30,Banthapchang,Train,4018.0,4024.0,4111.0,3403.5714285714284,1078.6420254410682,3400.714285714286,1068.1831481984934,1.0
2023-08-31,Banthapchang,Train,4154.0,4038.0,4001.0,3402.714285714286,1078.0690630761537,3388.285714285714,1059.0081388238923,1.0
2023-09-01,Banthapchang,Train,4150.0,4139.0,4017.0,3419.285714285714,1090.284170034841,3399.1428571428573,1066.698399825594,1.0
2023-09-02,Banthapchang,Train,2167.0,2066.0,2113.0,3420.8571428571427,1091.5016305639676,3408.285714285714,1073.1316654672798,0.0
2023-09-03,Banthapchang,Train,1682.0,1612.0,1595.0,3435.285714285714,1071.0833634356206,3412.8571428571427,1066.7433975377971,0.0
2023-09-04,Banthapchang,Train,4076.0,3922.0,3951.0,3445.285714285714,1051.3687450629434,3421.0,1050.6504334617387,1.0
2023-09-05,Banthapchang,Train,4179.0,4024.0,4017.0,3467.285714285714,1064.5353781949013,3431.714285714286,1057.3173150771302,1.0
2023-09-06,Banthapchang,Train,4147.0,4018.0,4024.0,3489.4285714285716,1079.5514280080758,3448.5714285714284,1069.079176541332,1.0
2023-09-07,Banthapchang,Train,4086.0,4154.0,4077.0,3507.8571428571427,1091.1173827123885,3454.5714285714284,1072.957727831946,1.0
2023-09-08,Banthapchang,Train,4025.0,4150.0,4081.0,3498.1428571428573,1084.6897296110992,3462.285714285714,1078.3592033402313,1.0
2023-09-09,Banthapchang,Train,2090.0,2167.0,2145.0,3480.285714285714,1073.1371012574434,3443.1428571428573,1066.671369037257,0.0
2023-09-10,Banthapchang,Train,1623.0,1682.0,1652.0,3469.285714285714,1089.1179480487388,3437.0,1075.4806677326528,0.0
2023-09-11,Banthapchang,Train,3994.0,4076.0,4026.0,3460.8571428571427,1105.3619962967487,3427.8571428571427,1093.3086524508144,1.0
2023-09-12,Banthapchang,Train,4107.0,4179.0,4135.0,3449.1428571428573,1098.1674779029836,3417.0,1086.7363985806337,1.0
2023-09-13,Banthapchang,Train,4070.0,4147.0,4066.0,3438.8571428571427,1090.5025490679975,3407.1428571428573,1079.426765861005,1.0
2023-09-14,Banthapchang,Train,3972.0,4086.0,4131.0,3427.8571428571427,1082.528125665626,3399.5714285714284,1074.208368542912,1.0
2023-09-15,Banthapchang,Train,4073.0,4025.0,3947.0,3411.5714285714284,1071.7808944529086,3382.5714285714284,1061.5711402041275,1.0
2023-09-16,Banthapchang,Train,2033.0,2090.0,2102.0,3418.4285714285716,1076.5028033935985,3386.285714285714,1063.918028528785,0.0
2023-09-17,Banthapchang,Train,1460.0,1623.0,1588.0,3410.285714285714,1088.3761167117564,3370.4285714285716,1086.8303849793174,0.0
2023-09-18,Banthapchang,Train,3798.0,3994.0,3950.0,3387.0,1133.7845180338832,3363.0,1101.1276038679646,1.0
2023-09-19,Banthapchang,Train,4050.0,4107.0,4066.0,3359.0,1118.6143213815885,3358.5714285714284,1098.432346140455,1.0
2023-09-20,Banthapchang,Train,3987.0,4070.0,4013.0,3350.8571428571427,1112.4523103743074,3349.4285714285716,1091.8090274315182,1.0
2023-09-21,Banthapchang,Train,3921.0,3972.0,4012.0,3339.0,1103.9193811143964,3345.0,1088.7273916519866,1.0
2023-09-22,Banthapchang,Train,4044.0,4073.0,3973.0,3331.714285714286,1099.203607812749,3323.5714285714284,1074.7984085621006,1.0
2023-09-23,Banthapchang,Train,1893.0,2033.0,1991.0,3327.5714285714284,1095.99404760288,3325.8571428571427,1076.4254779239548,0.0
2023-09-24,Banthapchang,Train,1566.0,1460.0,1536.0,3307.5714285714284,1124.46266532699,3319.5714285714284,1085.6087166720295,0.0
2023-09-25,Banthapchang,Train,3891.0,3798.0,3919.0,3322.714285714286,1095.7830859383455,3328.0,1069.5637740063337,1.0
2023-09-26,Banthapchang,Train,3958.0,4050.0,4002.0,3336.0,1103.0457832746526,3324.714285714286,1067.4789169324345,1.0
2023-09-27,Banthapchang,Train,3918.0,3987.0,3982.0,3322.8571428571427,1093.6284299784525,3315.4285714285716,1060.867704152733,1.0
2023-09-28,Banthapchang,Train,3846.0,3921.0,3862.0,3313.0,1086.9351406592723,3291.8571428571427,1045.3076785603116,1.0
2023-09-29,Banthapchang,Train,3916.0,4044.0,3989.0,3302.285714285714,1080.2923546098823,3268.5714285714284,1032.2237898735705,1.0
2023-09-30,Banthapchang,Train,2185.0,1893.0,1947.0,3284.0,1066.6422393036285,3239.4285714285716,1011.1587177001227,0.0
2023-10-01,Banthapchang,Train,1678.0,1566.0,1595.0,3325.714285714286,1007.231637424363,3261.714285714286,979.1385183390767,0.0
2023-10-02,Banthapchang,Train,3947.0,3891.0,3896.0,3341.714285714286,974.9931135287896,3271.8571428571427,959.1594286268648,1.0
2023-10-03,Banthapchang,Train,3997.0,3958.0,3937.0,3349.714285714286,980.4656571047741,3257.285714285714,948.8162298860839,1.0
2023-10-04,Banthapchang,Train,3910.0,3918.0,3817.0,3355.285714285714,984.6003782052373,3277.5714285714284,967.1121715607536,1.0
2023-10-05,Banthapchang,Train,3827.0,3846.0,3699.0,3354.1428571428573,983.8427090701379,3274.4285714285716,965.1006609231443,1.0
2023-10-06,Banthapchang,Train,3824.0,3916.0,3785.0,3351.4285714285716,982.2845577432968,3278.714285714286,967.3642392752462,1.0
2023-10-07,Banthapchang,Train,2132.0,2185.0,2103.0,3338.285714285714,974.0526533142669,3269.5714285714284,962.0696193004728,0.0
2023-10-08,Banthapchang,Train,1684.0,1678.0,1666.0,3330.714285714286,984.6596221174927,3268.4285714285716,963.689759404424,0.0
2023-10-09,Banthapchang,Train,4062.0,3947.0,3794.0,3331.5714285714284,982.9823425241563,3268.714285714286,963.1356280894411,1.0
2023-10-10,Banthapchang,Train,4062.0,3997.0,4079.0,3348.0,995.8589257520323,3291.714285714286,979.5527405038363,1.0
2023-10-11,Banthapchang,Train,3932.0,3910.0,3795.0,3357.285714285714,1003.1950149872306,3201.714285714286,922.4389255818375,1.0
2023-10-12,Banthapchang,Train,4060.0,3827.0,3729.0,3360.4285714285716,1005.2475411795897,3203.285714285714,923.6266767992582,1.0
