Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,temperature_max,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-02-14,Makkasan,Train,13446.0,696.0,79.0,33.0,0,0.7818314824680298,0.6234898018587336,11620.0,12844.0,10631.285714285714,2017.3659157662237,11718.42857142857,2312.4654128687575,1.0
2023-02-15,Makkasan,Train,12477.0,-969.0,103.0,27.4,0,0.9749279121818236,-0.22252093395631434,11894.0,13081.0,10760.857142857143,2118.06699835578,11804.42857142857,2371.736273783605,1.0
2023-02-16,Makkasan,Train,12979.0,502.0,86.0,28.9,0,0.43388373911755823,-0.900968867902419,11024.0,12703.0,10690.0,2081.827722619411,11718.142857142857,2328.13941654213,1.0
2023-02-17,Makkasan,Train,13997.0,1018.0,115.0,29.7,0,-0.433883739117558,-0.9009688679024191,12390.0,13828.0,10831.714285714286,2141.2682935031658,11757.57142857143,2349.8345230492873,1.0
2023-02-18,Makkasan,Train,8832.0,-5165.0,126.0,32.4,0,-0.9749279121818236,-0.2225209339563146,8191.0,8962.0,10901.714285714286,2207.6797559342613,11781.714285714286,2375.3813528418036,0.0
2023-02-19,Makkasan,Train,7803.0,-1029.0,139.0,34.2,0,-0.7818314824680299,0.6234898018587334,7335.0,7861.0,10864.42857142857,2262.6121229781465,11763.142857142857,2401.4659015256625,0.0
2023-02-20,Makkasan,Train,12820.0,5017.0,108.0,32.4,0,0.0,1.0,11965.0,12750.0,10814.714285714286,2355.021848043444,11754.857142857143,2417.2216439934637,1.0
2023-02-21,Makkasan,Train,11801.0,-1019.0,113.0,33.4,0,0.7818314824680298,0.6234898018587336,12527.0,13446.0,10833.0,2365.913636068187,11764.857142857143,2422.164419726799,1.0
2023-02-22,Makkasan,Train,12754.0,953.0,129.0,33.3,0,0.9749279121818236,-0.22252093395631434,11398.0,12477.0,10784.0,2328.234023174372,11529.857142857143,2309.0320070375374,1.0
2023-02-23,Makkasan,Train,13119.0,365.0,146.0,33.2,0,0.43388373911755823,-0.900968867902419,12016.0,12979.0,10845.0,2352.469624316834,11569.42857142857,2330.245255843457,1.0
2023-02-24,Makkasan,Train,13189.0,70.0,153.0,35.3,0,-0.433883739117558,-0.9009688679024191,12880.0,13997.0,10792.714285714286,2326.0240550695,11589.42857142857,2344.914273994028,1.0
2023-02-25,Makkasan,Train,8148.0,-5041.0,135.0,33.4,0,-0.9749279121818236,-0.2225209339563146,7930.0,8832.0,10700.142857142857,2240.4286367100676,11474.0,2223.387055822712,0.0
2023-02-26,Makkasan,Train,7289.0,-859.0,95.0,31.1,0,-0.7818314824680299,0.6234898018587334,6987.0,7803.0,10670.0,2284.8881810714624,11376.285714285714,2369.105859059185,0.0
2023-02-27,Makkasan,Train,12507.0,5218.0,116.0,31.1,0,0.0,1.0,12093.0,12820.0,10597.285714285714,2425.408811883465,11302.857142857143,2502.5242874992837,1.0
2023-02-28,Makkasan,Train,12740.0,233.0,149.0,32.7,0,0.7818314824680298,0.6234898018587336,12184.0,11801.0,10550.714285714286,2394.83943193734,11258.142857142857,2473.5267957966007,1.0
2023-03-01,Makkasan,Train,12699.0,-41.0,156.0,34.7,0,0.9749279121818236,-0.22252093395631434,11825.0,12754.0,10537.857142857143,2384.8300728124286,11392.285714285714,2532.628918356423,1.0
2023-03-02,Makkasan,Train,12472.0,-227.0,145.0,35.4,0,0.43388373911755823,-0.900968867902419,11650.0,13119.0,10545.42857142857,2389.676816164551,11384.42857142857,2527.7809673798097,1.0
2023-03-03,Makkasan,Train,13399.0,927.0,120.0,34.1,0,-0.433883739117558,-0.9009688679024191,12232.0,13189.0,10528.285714285714,2380.846398117407,11292.0,2464.830352512451,1.0
