Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-10-23,Ladkrabang,Train,-0.5949129685627611,0.4546208094534356,-0.6268836371944132,-0.24152555738891152,1,0.0,1.0,0.5000000000000001,1.0669878982864487,1.0751812507909955,1.0608678541045085,0.2889179328881108,1.0098221050671523,-0.10194787828003293,0.0
2023-10-24,Ladkrabang,Train,2.828652603116752,0.8709183368916985,-0.18401887927176935,-0.2888905993319469,0,0.7818314824680298,0.6234898018587336,0.5000000000000001,1.1267608331453076,1.0839005956923329,0.6834165751498813,1.635437946067608,0.6097213664032461,1.4777514429088203,1.0
2023-10-25,Ladkrabang,Train,-0.11301160059673314,0.3158549669740146,0.9093034918497579,-0.8572711026483631,0,0.9749279121818236,-0.22252093395631434,0.5000000000000001,0.9922717297128748,1.017736154970419,0.7443843764156902,1.8710734068835277,0.6592982246307194,1.6747165057747226,1.0
2023-10-26,Ladkrabang,Train,-0.11301160059673206,-0.06575109984439309,0.3557225444464529,-0.4783507671040851,0,0.43388373911755823,-0.900968867902419,0.5000000000000001,1.3444339375896528,1.0521006319345139,0.8133676132516421,2.0717436061261454,0.7162664243517414,1.867190636850137,1.0
2023-10-27,Ladkrabang,Train,-0.11301160059673314,-0.37797424542309027,-0.5161674477137522,-0.7151759768192587,0,-0.433883739117558,-0.9009688679024191,0.5000000000000001,1.5426808382048687,1.492171098131431,0.7978732082715622,2.0187874300603252,0.7616473245261088,2.0080115329727652,1.0
2023-10-28,Ladkrabang,Train,-1.3594794835261752,-0.10044256046424833,-0.18401887927176935,-0.3362556412749806,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000001,-0.006434390220562036,-0.03781748073267575,0.727154345623179,1.739457347813855,0.718848552384423,1.829469341438135,0.0
2023-10-29,Ladkrabang,Train,-0.686684787194379,0.10770620325488314,1.1030568234409144,-0.6204458929331895,0,-0.7818314824680299,0.6234898018587334,0.5000000000000001,-0.4238487186515945,-0.27375269571004385,0.7352960085251345,1.716306382548351,0.7278537238983973,1.802564274232843,0.0
2023-10-30,Ladkrabang,Train,1.6582639551135205,-0.37797424542309027,1.7119958655845502,-1.0467312704205014,0,0.0,1.0,0.5000000000000001,-0.9189678623991437,-1.0441324628752762,0.7140898167805053,1.8300500579441406,0.6961903788976486,1.9512100517737059,1.0
2023-10-31,Ladkrabang,Train,0.42172808718749977,-0.759580312241498,0.48027825761219645,-1.1414613543065704,0,0.7818314824680298,0.6234898018587336,0.5000000000000001,1.4475422502211848,1.3465067480149688,1.0508327812253537,0.44404193300278494,1.0345137043796642,0.3193500139389211,1.0
2023-11-01,Ladkrabang,Train,-0.33211185157221884,-0.2738998635635246,-0.599204589824248,-0.5730808509901542,0,0.9749279121818236,-0.22252093395631434,0.8660254037844384,1.3552262730502798,1.3194938755755312,1.0052016007748568,0.2724843404870601,0.9931673792563611,0.18216755227198334,1.0
2023-11-02,Ladkrabang,Train,0.18455156890578595,0.1423976638747384,-0.6545626845645784,-0.9520011865344322,0,0.43388373911755823,-0.900968867902419,0.8660254037844384,1.2629102958793759,1.292481003136093,0.9247632335768523,0.03442606034112844,0.9147997934644944,-0.04255004022436879,1.0
2023-11-03,Ladkrabang,Train,0.23937629172467456,0.5933866519328566,-0.6130441135093306,0.042664694269297435,0,-0.433883739117558,-0.9009688679024191,0.8660254037844384,1.170594318708471,1.2654681306966553,0.8915970021429152,-0.08691602306920247,0.8638027648190475,-0.23496615865839898,1.0
2023-11-04,Ladkrabang,Train,-1.7355055715557266,1.2872158643299614,-0.059463166106025755,-0.004700347673737955,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844384,0.036402879761620294,0.009882464904053019,0.914412592368163,0.0070254762464390325,0.8915929177707758,-0.08728070481428321,0.0
2023-11-05,Ladkrabang,Train,2.1278496244753056,0.2811635063541594,0.86778492079451,-0.14679547350284075,0,-0.7818314824680299,0.6234898018587334,0.8660254037844384,-0.5354248637214647,-0.44147185940047723,0.8774910978127827,0.20746600716714952,0.9167686660894144,-0.21064179175148792,0.0
2023-11-06,Ladkrabang,Train,-0.6556969003837028,0.24647204573430412,0.0512530233746352,-0.052065389616773344,0,0.0,1.0,0.8660254037844384,0.852801548375537,0.747949365670211,1.2876983693729538,-0.7081534421917572,1.3426261318793127,-0.8800711962695394,1.0
2023-11-07,Ladkrabang,Train,-0.04309021497264293,-0.5514315485223665,0.6878711128884358,-0.2888905993319469,0,0.7818314824680298,0.6234898018587336,0.8660254037844384,1.2074542952047673,1.1274973201990206,1.3303000938599319,-0.7189635041305831,1.352115452399415,-0.9039961134707922,1.0
2023-11-08,Ladkrabang,Train,-0.07646178538414036,-0.13513402108410358,-0.6407231608794959,-0.14679547350284075,0,0.9749279121818236,-0.22252093395631434,0.8660254037844384,0.9320006870635252,0.9043846712530311,1.2990588292361478,-0.7559026243485409,1.3577315808704968,-0.897960005582812,1.0
2023-11-09,Ladkrabang,Train,0.065963309764929,-0.03105963922453784,0.4525992102420313,-0.7625410187622941,0,0.43388373911755823,-0.900968867902419,0.8660254037844384,1.08840653327754,1.0223522787417152,1.308431208623283,-0.7586839456926733,1.3675113907942753,-0.9085785653127625,1.0
2023-11-10,Ladkrabang,Train,0.21136800941502493,0.3158549669740146,0.14812968917021357,-0.4309857251610497,0,-0.433883739117558,-0.9009688679024191,0.8660254037844384,1.2906382962166796,1.4126711887368828,1.2989641587372882,-0.7652612822224799,1.38649003183448,-0.9044363504026546,1.0
2023-11-11,Ladkrabang,Train,-0.19683780722561323,-0.10044256046424833,0.4664387339271139,-0.9046361445913969,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844384,-0.15785915852967167,0.1432371516303915,1.2850475954048752,-0.8009070817181817,1.3870710106418334,-0.9023838153743592,0.0
2023-11-12,Ladkrabang,Train,-1.5972519227080944,-0.34328278480323504,0.6048339707779401,-0.4783507671040851,0,-0.7818314824680299,0.6234898018587334,0.8660254037844384,1.622876192473838,1.8142739568396637,1.5155702601288568,-2.6871971128364476,1.5842164859370207,-2.021681205053674,0.0
2023-11-13,Ladkrabang,Train,1.5563614811784123,-0.3085913241833798,1.0338592050155013,-0.3362556412749806,0,0.0,1.0,0.8660254037844384,1.0769500540962584,0.7982138245132155,1.1543076364792808,-0.9800968843171909,1.1631036804071737,-0.3997716282976275,1.0
2023-11-14,Ladkrabang,Train,0.7876235199135608,-0.7248888516216427,-0.6545626845645784,-0.3362556412749806,0,0.7818314824680298,0.6234898018587336,0.8660254037844384,1.043078724342905,1.157245673391819,1.1444619045978457,-0.9976343215129266,1.2079358783745957,-0.39549594818092293,1.0
2023-11-15,Ladkrabang,Train,-0.8058689672354412,-0.6901973910017875,-0.6268836371944132,-0.5257158090471205,0,0.9749279121818236,-0.22252093395631434,0.8660254037844384,0.981313358322084,0.9561878380198011,1.2665868481271845,-0.4909299003412187,1.3059276372148354,-0.0332130320997645,1.0
2023-11-16,Ladkrabang,Train,0.011138586946040386,-0.8289632334812085,1.1445753944961625,-0.7151759768192587,0,0.43388373911755823,-0.900968867902419,0.8660254037844384,1.0385957542284905,1.1228811964277243,1.2728351010519408,-0.4890768727269909,1.2939207418628702,-0.026925410176174,1.0
2023-11-17,Ladkrabang,Train,-0.10864151399522716,-0.9330376153407742,-0.6545626845645784,-1.8993020253951265,0,-0.433883739117558,-0.9009688679024191,0.8660254037844384,1.2174164510145773,1.4157486045844137,1.2703736680815816,-0.49050077195823844,1.254801502167754,-0.04090549026938382,1.0
2023-11-18,Ladkrabang,Train,-1.3785489523327452,0.1423976638747384,-0.6545626845645784,-2.467682528711543,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844384,1.0550333113146768,1.1875069292258729,1.2170741772234293,-0.5520068773665318,1.1866333221049776,-0.20389971186671277,0.0
2023-11-19,Ladkrabang,Train,-0.8386446167467333,0.7668439550321328,-0.6545626845645784,-2.3729524448254735,0,-0.7818314824680299,0.6234898018587334,0.8660254037844384,-0.2779031360378803,-0.416339629978975,0.9760430871259916,0.2251482522149368,0.9031156641166144,0.549862604104867,0.0
2023-11-20,Ladkrabang,Train,2.1427476469804385,0.8362268762718433,-0.6545626845645784,-1.8519369834520911,0,0.0,1.0,0.8660254037844384,1.0251468438852473,1.035687747414349,0.8555275420772728,1.214715302467545,0.7892438178753863,1.4958521445060478,1.0
2023-11-21,Ladkrabang,Train,-0.09135980788927314,0.801535415651988,-0.6545626845645784,-1.236191438192641,0,0.7818314824680298,0.6234898018587336,0.8660254037844384,1.6856377740756399,1.676303146342029,0.8281677679067471,1.1654493685295602,0.7138134027206957,1.3865061874268123,1.0
2023-11-22,Ladkrabang,Train,-0.23318898213813719,1.356598785569672,-0.6545626845645784,-0.8099060607053278,0,0.9749279121818236,-0.22252093395631434,0.8660254037844384,1.0141884724944565,0.8925879105041628,0.6611690079177921,0.4599530060453638,0.5510425068605732,0.6347985998805972,1.0
2023-11-23,Ladkrabang,Train,0.10469816827827423,1.07906710061083,-0.6545626845645784,-0.6678109348762232,0,0.43388373911755823,-0.900968867902419,0.8660254037844384,1.0256449516757378,0.9156685293606445,0.5851485973332504,0.28408557573734844,0.510664479749525,0.5337928594283134,1.0
2023-11-24,Ladkrabang,Train,0.29122141004253665,1.0443756399909747,-0.6545626845645784,-0.4309857251610497,0,-0.433883739117558,-0.9009688679024191,0.8660254037844384,0.9369817649684302,1.0546651451407896,0.523991455069722,0.09159907120711612,0.4551810036472939,0.3836919054492687,1.0
2023-11-25,Ladkrabang,Train,-1.5156107593799668,0.1423976638747384,-0.6545626845645784,-0.8572711026483631,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844384,-0.21314912327411628,-0.31427200436920055,0.5263582175412213,0.10095921661479822,0.45847321688896225,0.3999407957038289,0.0
2023-11-26,Ladkrabang,Train,-0.2713279197512771,0.6974610337924223,0.2311668312807094,-0.4783507671040851,0,-0.7818314824680299,0.6234898018587334,0.8660254037844384,-0.9119943533322769,-1.0195131360950291,0.5069507652749303,0.19383145120174783,0.5042737128686403,0.21598278742550214,0.0
2023-11-27,Ladkrabang,Train,2.0122409698354753,-0.20451694232381407,-0.6545626845645784,-0.3362556412749806,0,0.0,1.0,0.8660254037844384,0.881193692433495,0.6361365898765887,0.5776696279233147,-0.43101984774817387,0.6193075167245738,-0.8890660674421655,1.0
2023-11-28,Ladkrabang,Train,-0.1694254458161689,0.8709183368916985,-0.6545626845645784,-1.1888263962496057,0,0.7818314824680298,0.6234898018587336,0.8660254037844384,0.8069756316504118,0.8141138063921252,0.6276556513213699,-0.20634960297497804,0.7596138987003727,-0.2870153365984203,1.0
2023-11-29,Ladkrabang,Train,-0.10268230499317405,1.8422792342476455,-0.6545626845645784,-0.5730808509901542,0,0.9749279121818236,-0.22252093395631434,0.8660254037844384,0.6142079167305913,0.678707509100766,0.6652398393687698,-0.08594247820949609,0.8163561622185359,-0.12242717067980308,1.0
2023-11-30,Ladkrabang,Train,0.21792313931728335,1.356598785569672,-0.6545626845645784,-0.004700347673737955,0,0.43388373911755823,-0.900968867902419,0.8660254037844384,0.7038673190188798,0.6217753159214446,0.7235568666665002,0.018644315053137395,0.8671918078619413,-0.05568914844168268,1.0
2023-12-01,Ladkrabang,Train,0.253678393329602,0.1423976638747384,0.16196921285529628,-0.4783507671040851,0,-0.433883739117558,-0.9009688679024191,1.0,0.9494344597306925,1.0721038349434646,0.7998612887476212,0.19887673559998395,0.9362314561357472,0.004730507750526945,1.0
2023-12-02,Ladkrabang,Train,-1.6032111317101476,-0.37797424542309027,-0.5715255424540828,-0.14679547350284075,0,-0.9749279121818236,-0.2225209339563146,1.0,-0.3152612203246672,-0.07166905505551552,0.8702014694005664,0.4422199227387192,0.9667328435217903,0.10241094876928253,0.0
2023-12-03,Ladkrabang,Train,-0.5746516579557805,-0.2738998635635246,-0.5438464950839176,-0.004700347673737955,0,-0.7818314824680299,0.6234898018587334,1.0,-0.5399078338358791,-0.4101847982839132,0.9266250867210974,0.1051190590182304,0.9860988037668965,-0.01005268316649057,0.0
2023-12-04,Ladkrabang,Train,1.484850973153775,-0.23920840294366932,-0.5853650661391654,-0.383620683218016,0,0.0,1.0,1.0,1.144194605812475,1.3793325170552981,0.9348614201219128,0.03057603656359207,0.997621550112735,-0.11203173874170898,1.0
2023-12-05,Ladkrabang,Train,-2.0775641682735753,0.6974610337924223,-0.004105071365695218,-0.14679547350284075,0,0.7818314824680298,0.6234898018587336,1.0,1.0047244244751372,1.1146747541676418,0.8593143620316712,-0.11989707893085172,0.8854926402935671,-0.44545484239059613,0.0
