Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_National Holiday,holiday_category_Weekday,holiday_category_Weekend
2023-09-19,Ladkrabang,Train,0.9238794938709586,-0.2748266253037481,-0.37717670910106954,-0.38402403096090004,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0.920752698966585,0.9273358197191902,0.7123942528545723,0.8006608118047911,0.7836563486860975,0.4845727937755942,0.0,1.0,0.0
2023-09-20,Ladkrabang,Train,0.9510076986883639,-0.34422308852169353,-0.19720682199490971,0.2320457076447407,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,1.0259758013995097,1.0720185088745937,0.714753440233981,0.8063186438621768,0.7769953354206652,0.4703821614068208,0.0,1.0,0.0
2023-09-21,Ladkrabang,Train,0.7726648707220888,-0.8993947942652569,2.5023414845974883,0.4689956071084485,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0.8870018925258354,1.0096464661998261,0.7022025633755224,0.7705928522507379,0.7630940903449815,0.42775848579285836,0.0,1.0,0.0
2023-09-22,Ladkrabang,Train,1.2599678091088122,-0.41361955173963894,-0.1695191470555005,-0.1470741314971905,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,1.3163320038677222,1.2443084956073533,0.6825741243788349,0.7324465081399024,0.7491928452692967,0.38977343143472126,0.0,1.0,0.0
2023-09-23,Ladkrabang,Train,-0.5314984571665029,-0.20543016208580267,0.3703905142629791,-0.004904191818967157,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,-0.30618838223242545,-0.21274332097533152,0.6728542723756685,0.684287770472178,0.7501582095106644,0.3943084941737341,0.0,0.0,1.0
2023-09-24,Ladkrabang,Train,-0.8670843982410712,-0.03193900404093909,1.6301797240060978,-0.004904191818967157,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,-0.898316501112045,-0.7265458036650151,0.6351072743051164,0.9000091937816577,0.6998627325354447,0.7018426804240833,0.0,0.0,1.0
2023-09-25,Ladkrabang,Train,1.0670561304072639,-0.6218089413934752,0.21810830209622836,0.04248578807377509,0.0,1.0,-1.0,-1.8369701987210297e-16,0.8681411477501225,0.9017735071475642,0.646903211202163,0.8001832148385558,0.6960978119941142,0.7331141882704656,0.0,1.0,0.0
2023-09-26,Ladkrabang,Train,0.9876810126081894,-1.142282415528066,0.8272371507632308,-0.8105338499955735,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0.9331610836874487,0.8920598283703463,0.6861600891955381,0.9127803836888737,0.7092267656767045,0.7667400395120036,0.0,1.0,0.0
2023-09-27,Ladkrabang,Train,0.8445043760718841,-1.5239629632267657,1.5748043741272797,-1.8531134076358877,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0.9599631946845144,0.9983990486683106,0.6981447610829382,0.9447425623116205,0.7440764147900525,0.8613966944100944,0.0,1.0,0.0
2023-09-28,Ladkrabang,Train,0.806826313825488,-0.2748266253037481,7.513810648630554,-1.3318236288157315,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0.7837641316482488,0.936027005993543,0.6781388521055458,0.8979784733774318,0.7079717921629273,0.7821562561135993,0.0,1.0,0.0
2023-09-29,Ladkrabang,Train,1.5011074074857476,-1.281075341963957,-0.031080772358454464,-0.9053138097810562,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,1.2652094588177634,1.2494209581216784,0.6845558417775389,0.9090157457274556,0.7019865338664518,0.7676059782099819,0.0,1.0,0.0
2023-09-30,Ladkrabang,Train,0.05929355885698854,-0.7259036362203933,0.2596398145053421,-0.9527037896737985,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,-0.5047225377662459,-0.47910261797167497,0.7298522394622021,1.138747519734181,0.7479378717555195,1.002804775984522,0.0,0.0,1.0
