Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,day_sin,day_cos,month_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2024-06-24,Suvarnabhumi,Train,0.8140083490488191,-1.0381877207011478,-0.23337722849536396,-0.6893117721168358,0.0,1.0,1.2246467991473532e-16,0.6312860873890735,1.0767179449102828,0.8479343578067113,0.8786333129932986,0.8082730812200289,-0.83737927478213,1.0
2024-06-25,Suvarnabhumi,Train,0.8420570837538914,-1.246377110354984,1.287950398046111,-0.3838629192753607,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,0.5356363484549752,0.8091575480927589,0.8769980927668953,0.7741078592097591,0.8615097345250908,0.48401744938560165,1.0
2024-06-26,Suvarnabhumi,Train,0.7764931663807849,-1.0728859523101206,1.114465668703662,-1.1474850513790467,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,0.8010990296996106,0.7758629260000235,0.9244396068493264,0.47428335740973443,0.9107610741190472,0.7228307387688742,1.0
2024-06-27,Suvarnabhumi,Train,1.2203643930885542,-0.5871107097845025,-0.553656728819885,-0.5365873456960982,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,1.0384905919092389,0.649102678032501,0.9226844256972014,0.4807718464336233,0.9378850002722405,0.6849786158502256,1.0
2024-06-28,Suvarnabhumi,Train,1.6284734830473562,-0.7606018678293661,-0.30010212439630585,-0.07841406643388556,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,1.4772317857156465,0.9371212161359225,0.9509221930563851,0.7090532038440502,0.9992112455879038,0.4505214363462877,1.0
2024-06-29,Suvarnabhumi,Train,0.8771180021352318,-0.7953000994383388,2.2354439198394855,-1.0456687670985556,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,0.8281304776592471,0.5680723929393378,0.9738944169591948,1.1729388259758546,1.0413247098783882,0.6117747597540335,0.0
2024-06-30,Suvarnabhumi,Train,0.5426368407772446,-1.0381877207011478,0.367146834613113,-0.07841406643388556,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,0.44414529382235934,0.704058861486775,0.9829284375951312,1.1483222271774807,1.0698167287980809,0.1304478889641842,0.0
2024-07-01,Suvarnabhumi,Train,0.6902433071626876,-1.1769806471370388,-0.6203816247208269,-0.6893117721168358,0.0,1.0,-0.4999999999999997,0.8263976925336293,1.4357382674765256,0.9999123963906913,0.9010948685449414,1.0906355317665408,-0.1749066871291137,1.0
2024-07-02,Suvarnabhumi,Train,0.5878654254891736,-0.8993947942652569,0.7141162932980109,0.17612664426734312,0.7818314824680298,0.6234898018587336,-0.4999999999999997,0.8541222545435129,1.141301488969685,0.981689486193631,1.0153273616490888,1.0664262380289318,-0.6279969680290398,1.0
2024-07-03,Suvarnabhumi,Train,0.7982309357772159,-0.8299983310473115,-0.5803466871802618,-0.07841406643388556,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,0.78931609084541,0.9587827774974611,0.9442628292733237,1.2509714497288429,1.042335908879714,-0.6847274767853053,1.0
2024-07-04,Suvarnabhumi,Train,1.0787182828279391,-0.7259036362203933,0.32711189707254784,-1.198393193519293,0.43388373911755823,-0.900968867902419,-0.4999999999999997,1.2280572846518178,1.062678044027804,0.9474634537271984,1.2398273135887832,1.0293092864508777,-0.6022839596744631,1.0
2024-07-05,Suvarnabhumi,Train,1.4096933523477924,-1.281075341963957,1.9151644195149646,-0.6384036299765894,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,1.631449661895624,1.2211283539872073,0.9266077718019511,1.0799026692795304,0.9782139957368573,-0.32407365996489323,1.0
2024-07-06,Suvarnabhumi,Train,0.7046182836990371,-0.656507173002448,-0.3534820411170594,-0.18023035071437846,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,0.8887779570558674,0.76021846501669,0.8943950353629554,0.367922756600653,0.9523986800559671,-0.6422204868923541,0.0
2024-07-07,Suvarnabhumi,Train,0.47076195809549676,-0.9340930258742297,-0.5002768120991316,0.22703478640758595,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,0.5581625550880056,0.8444578703115626,0.8689965316322084,0.41743072800397535,0.920635134955517,-0.1397707757765219,0.0
2024-07-08,Suvarnabhumi,Train,0.7014628010447165,-0.9340930258742297,-0.5936916663604501,-0.18023035071437846,0.0,1.0,-0.4999999999999997,0.704063062665018,1.272474277214558,0.8584138217443974,0.5409925958562172,0.8732277464816238,0.31864890888246383,1.0
2024-07-09,Suvarnabhumi,Train,0.6790238132806586,-0.7259036362203933,-0.6470715830812037,-0.027505924293642712,0.7818314824680298,0.6234898018587336,-0.4999999999999997,0.6028684113289429,0.9788397787581451,0.8600657569463975,0.5335574538524369,0.8532416956319023,-0.04650701378225176,1.0
2024-07-10,Suvarnabhumi,Train,0.925852678685295,-0.8993947942652569,1.1011206895234735,-1.1474850513790467,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,0.8108026264030698,0.8709331119756655,0.8734877304626456,0.43794395315949264,0.8334935739589627,-0.14318556232962504,1.0
2024-07-11,Suvarnabhumi,Train,1.076264018541245,-0.8299983310473115,0.3804918137933013,-0.791128056397327,0.43388373911755823,-0.900968867902419,-0.4999999999999997,1.0880482465019057,0.7180987623692537,0.8922784933853931,0.4506767805292197,0.8447952098561267,-0.08691412916272581,1.0
2024-07-12,Suvarnabhumi,Train,1.5225895095357083,-1.003489489092175,1.287950398046111,-0.7402199142570823,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,1.415198078218532,1.0470335830444706,0.8919171325599556,0.4476705614452673,0.8359323480209825,-0.024410777687915695,1.0
