Date,Station_Name,Dataset_Type,Passenger_Arrival_Filled,day_sin,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2022-08-09,Phayathai,Train,11329.0,0.7818314824680298,10923.0,11711.0,10457.42857142857,1389.692874600097,11170.857142857143,1377.730915741679,1.0
2022-08-10,Phayathai,Train,11544.0,0.9749279121818236,10734.0,11209.0,10515.42857142857,1420.4934420994748,11119.0,1360.7385249684316,1.0
2022-08-11,Phayathai,Train,12469.0,0.43388373911755823,10854.0,11576.0,10631.142857142857,1473.2767819355838,11208.857142857143,1388.1640667408176,1.0
2022-08-12,Phayathai,Train,7280.0,-0.433883739117558,12043.0,12846.0,10861.857142857143,1631.906699597274,11418.857142857143,1554.2198931265814,0.0
2022-08-13,Phayathai,Train,7757.0,-0.9749279121818236,9383.0,10775.0,10181.42857142857,2007.1720452038026,10735.285714285714,1846.6715746883203,0.0
2022-08-14,Phayathai,Train,7215.0,-0.7818314824680299,7885.0,8395.0,9949.142857142857,2199.814645871437,10413.857142857143,2025.7404760211555,0.0
2022-08-15,Phayathai,Train,12245.0,0.0,11380.0,11684.0,9853.42857142857,2316.096922061111,10358.714285714286,2093.9601806374403,1.0
2022-08-16,Phayathai,Train,11575.0,0.7818314824680298,11329.0,11348.0,9977.0,2431.327963617139,10361.57142857143,2096.08244567039,1.0
2022-08-17,Phayathai,Train,11357.0,0.9749279121818236,11544.0,11838.0,10012.142857142857,2455.7819140802812,10414.857142857143,2129.8082408651453,1.0
2022-08-18,Phayathai,Train,12031.0,0.43388373911755823,12469.0,13046.0,9985.42857142857,2437.2883742076187,10384.285714285714,2107.3936283385333,1.0
2022-08-19,Phayathai,Train,12338.0,-0.433883739117558,7280.0,8061.0,9922.857142857143,2367.5260243956086,10267.142857142857,1951.8273001276916,1.0
2022-08-20,Phayathai,Train,10394.0,-0.9749279121818236,7757.0,8525.0,10645.42857142857,2191.8231267708657,10988.0,1932.9621482756972,0.0
2022-08-21,Phayathai,Train,8130.0,-0.7818314824680299,7215.0,8009.0,11022.142857142857,1805.1469403321348,11303.285714285714,1618.7128337340025,0.0
2022-08-22,Phayathai,Train,11601.0,0.0,12245.0,11704.0,11152.857142857143,1488.9528119421607,11345.142857142857,1520.1162706156401,1.0
2022-08-23,Phayathai,Train,11715.0,0.7818314824680298,11575.0,11721.0,11060.857142857143,1428.9093076622466,11324.142857142857,1515.3403829471458,1.0
2022-08-24,Phayathai,Train,11446.0,0.9749279121818236,11357.0,11624.0,11080.857142857143,1438.2541996660864,11333.714285714286,1518.4732150294358,1.0
2022-08-25,Phayathai,Train,12124.0,0.43388373911755823,12031.0,12226.0,11093.57142857143,1441.4919189440307,11377.857142857143,1532.7427951846328,1.0
2022-08-26,Phayathai,Train,14293.0,-0.433883739117558,12338.0,13107.0,11106.857142857143,1451.9623994869153,11437.42857142857,1578.6176291450513,1.0
2022-08-27,Phayathai,Train,9976.0,-0.9749279121818236,10394.0,10732.0,11386.142857142857,1859.164635759064,11640.142857142857,1889.2835880805173,0.0
2022-08-28,Phayathai,Train,8447.0,-0.7818314824680299,8130.0,8302.0,11326.42857142857,1902.5488918065355,11648.57142857143,1884.6828961519063,0.0
2022-08-29,Phayathai,Train,12164.0,0.0,11601.0,11557.0,11371.714285714286,1815.5693059649072,11761.857142857143,1660.4983617949536,1.0
2022-08-30,Phayathai,Train,11995.0,0.7818314824680298,11715.0,11788.0,11452.142857142857,1839.7289137779148,11907.57142857143,1684.1116211168617,1.0
2022-08-31,Phayathai,Train,12295.0,0.9749279121818236,11446.0,11933.0,11492.142857142857,1849.4149911590423,11984.714285714286,1690.0787668316373,1.0
2022-09-01,Phayathai,Train,12342.0,0.43388373911755823,12124.0,12643.0,11613.42857142857,1873.565838816705,12134.0,1730.4207580816594,1.0
