Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_cos,Passenger_Arrival_Lag7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-07-20,Huamak,Train,-0.0236822221725439,-0.22252093395631434,-1.4761485840502817,-0.4695456180491784,-1.2479810572298986,-0.33830188826221586,1.0
2022-07-21,Huamak,Train,-0.2900279055180436,-0.900968867902419,-0.8095178955889725,-0.4041930345951021,-0.9711218818144768,-0.2947727209766875,1.0
2022-07-22,Huamak,Train,0.24266346117295576,-0.9009688679024191,-0.7892575511357366,-0.2611190630734621,-0.8682367727432,-0.2245644454553384,1.0
2022-07-23,Huamak,Train,-1.3332834590528775,-0.2225209339563146,-1.4421634901287248,-0.07087951781222653,-0.7424739446950182,-0.09280326411088274,0.0
2022-07-24,Huamak,Train,-0.48753347378347567,0.6234898018587334,-1.7388795024438566,-0.29603502955132194,-0.6892218530651609,-0.3955068625455546,0.0
2022-07-25,Huamak,Train,1.9513734604817765,1.0,-0.179486539043186,-0.5011871786084681,-0.6896096110139222,-0.3924174764507821,1.0
2022-07-26,Huamak,Train,-0.0031940926844285407,0.6234898018587336,-0.18340789603413488,-0.41566767207809907,-0.6543236376766625,-0.2904090083613122,1.0
2022-07-27,Huamak,Train,0.12792993603950975,-0.22252093395631434,-0.1566119565959842,-0.26964999142920537,-0.6428201518634166,-0.25428253643125026,1.0
2022-07-28,Huamak,Train,-1.9831669264158969,-0.900968867902419,-0.25203164337574024,-0.07267119022028762,-0.6074049258765698,-0.13882251770395743,0.0
2022-07-29,Huamak,Train,0.7253637919129535,-0.9009688679024191,-0.06315294831170261,0.44283586479428916,-0.8390256739365305,0.4181443222078578,0.0
2022-07-30,Huamak,Train,-0.33428226521237275,-0.2225209339563146,-1.2219139391370961,0.2681857472731149,-0.9945166113897298,0.27039060708025,0.0
2022-07-31,Huamak,Train,-0.2072558623860575,0.6234898018587334,-1.6107818407395267,0.20470529355486325,-0.9924485689963373,0.2645452927917726,0.0
2022-08-01,Huamak,Train,1.626021964210505,1.0,-0.03243565188260306,-0.06354553496508304,-0.9461761204441798,0.04284389061944317,1.0
2022-08-02,Huamak,Train,-0.13431812140836683,0.6234898018587336,0.06494471339262742,0.03653895151933649,-0.9512169737780739,0.020475561060261945,1.0
