Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Compensatory Holiday,holiday_category_National Holiday,holiday_category_Weekday,holiday_category_Weekend
2022-11-27,Ladkrabang,Train,6349.0,63.0,2.3,29.8,0,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,5991.0,6284.0,8710.714285714286,1477.0499556306854,8831.42857142857,1423.8231230438432,0.0,0.0,0.0,1.0
2022-11-28,Ladkrabang,Train,9316.0,62.0,9.4,30.8,0,0.0,1.0,-0.5000000000000004,0.8660254037844384,9526.0,9653.0,8784.714285714286,1323.0285603223426,8840.714285714286,1404.52183017161,0.0,0.0,1.0,0.0
2022-11-29,Ladkrabang,Train,9577.0,80.0,5.5,31.0,0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,9562.0,9697.0,8782.0,1321.2726188540248,8792.57142857143,1377.555426246432,0.0,0.0,1.0,0.0
2022-11-30,Ladkrabang,Train,9432.0,94.0,8.2,31.6,0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,9212.0,9308.0,8746.57142857143,1300.026007065881,8775.42857142857,1365.1149960281693,0.0,0.0,1.0,0.0
2022-12-01,Ladkrabang,Train,9417.0,78.0,1.3,31.2,0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,9362.0,9541.0,8792.0,1324.3297675931676,8793.142857142857,1373.953593172096,0.0,0.0,1.0,0.0
2022-12-02,Ladkrabang,Train,10433.0,76.0,0.0,31.3,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,10007.0,9985.0,8821.57142857143,1341.380117285052,8775.42857142857,1363.4638312209297,0.0,0.0,1.0,0.0
2022-12-03,Ladkrabang,Train,7812.0,67.0,1.9,30.8,1,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,7315.0,7352.0,8907.857142857143,1445.7121000360057,8839.42857142857,1438.170696538137,0.0,0.0,0.0,1.0
2022-12-04,Ladkrabang,Train,7185.0,67.0,0.0,30.3,1,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,6509.0,6349.0,8979.285714285714,1363.9360584091228,8905.142857142857,1367.6590009418217,0.0,0.0,0.0,1.0
2022-12-05,Ladkrabang,Train,5713.0,65.0,0.5,31.2,1,0.0,1.0,-2.4492935982947064e-16,1.0,9507.0,9316.0,9045.142857142857,1229.2604048195753,9024.57142857143,1121.6156289244811,0.0,1.0,0.0,0.0
2022-12-06,Ladkrabang,Train,10001.0,58.0,0.1,31.3,0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,9314.0,9577.0,8548.285714285714,1644.2943485769022,8509.857142857143,1662.0864827651149,0.0,0.0,1.0,0.0
