Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-01-10,Banthapchang,Train,3788.0,191.0,97.0,0,0.7818314824680298,0.6234898018587336,2709.0,2731.0,2762.714285714286,798.1492580308749,2726.5714285714284,795.2506642861872,1.0
2023-01-11,Banthapchang,Train,3712.0,-76.0,64.0,0,0.9749279121818236,-0.22252093395631434,3178.0,3121.0,2907.5714285714284,875.0839687601123,2877.5714285714284,890.8372199122327,1.0
2023-01-12,Banthapchang,Train,3699.0,-13.0,75.0,0,0.43388373911755823,-0.900968867902419,3205.0,3188.0,2994.285714285714,934.4111718591735,2962.0,944.1629449764857,1.0
2023-01-13,Banthapchang,Train,3532.0,-167.0,71.0,0,-0.433883739117558,-0.9009688679024191,3260.0,3184.0,3069.285714285714,974.3583725176446,3035.0,983.4846211303988,1.0
2023-01-14,Banthapchang,Train,1913.0,-1619.0,67.0,0,-0.9749279121818236,-0.2225209339563146,1855.0,1813.0,3135.285714285714,1004.6075044987631,3084.714285714286,1000.9128690493372,0.0
2023-01-15,Banthapchang,Train,1559.0,-354.0,74.0,0,-0.7818314824680299,0.6234898018587334,1493.0,1452.0,3140.5714285714284,996.8157397671915,3099.0,980.2370461611166,0.0
2023-01-16,Banthapchang,Train,3428.0,1869.0,81.0,0,0.0,1.0,3639.0,3597.0,3156.1428571428573,967.2006735197909,3114.285714285714,950.6614739723298,1.0
2023-01-17,Banthapchang,Train,3682.0,254.0,90.0,0,0.7818314824680298,0.6234898018587336,3723.0,3788.0,3146.714285714286,962.0169288679725,3090.1428571428573,938.4265960587863,1.0
2023-01-18,Banthapchang,Train,3645.0,-37.0,78.0,0,0.9749279121818236,-0.22252093395631434,3785.0,3712.0,3146.0,961.5194572480897,3075.0,926.0626328710192,1.0
2023-01-19,Banthapchang,Train,3556.0,-89.0,78.0,0,0.43388373911755823,-0.900968867902419,3730.0,3699.0,3135.5714285714284,953.7986959421505,3065.4285714285716,918.6985100570026,1.0
2023-01-20,Banthapchang,Train,3640.0,84.0,82.0,0,-0.433883739117558,-0.9009688679024191,3722.0,3532.0,3127.1428571428573,947.9128702174078,3045.0,903.7300481891725,1.0
2023-01-21,Banthapchang,Train,1701.0,-1939.0,74.0,0,-0.9749279121818236,-0.2225209339563146,1892.0,1913.0,3124.285714285714,945.8489509933564,3060.4285714285716,914.2900446326043,0.0
2023-01-22,Banthapchang,Train,1402.0,-299.0,81.0,0,-0.7818314824680299,0.6234898018587334,1602.0,1559.0,3102.0,980.9106313353228,3030.1428571428573,960.9535938451,0.0
2023-01-23,Banthapchang,Train,3621.0,2219.0,124.0,0,0.0,1.0,3573.0,3428.0,3081.0,1019.2019754036301,3007.714285714286,1001.9695128904415,1.0
2023-01-24,Banthapchang,Train,3743.0,122.0,113.0,0,0.7818314824680298,0.6234898018587336,3718.0,3682.0,3089.5714285714284,1024.2689843888409,3035.285714285714,1017.9894751069754,1.0
