Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,pm25_filled_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2024-08-08,Makkasan,Test,0.19673455046608204,-0.5167400879025112,-0.12682082846648116,0,0.43388373911755823,-0.900968867902419,1.270311326587905,1.2420012464234076,1.1390379100356283,0.7301552110762968,1.032245691974888,1.1378665057334265,1.0
2024-08-09,Makkasan,Test,0.4601903035930523,-0.7942717728613532,0.7169133894568229,0,-0.433883739117558,-0.9009688679024191,1.26303217739281,1.3562179519978768,1.1597075580944636,0.7819560013242381,1.091091839446915,1.3173063661609867,1.0
2024-08-10,Makkasan,Test,-2.4876769156261083,-1.0024205365804848,0.8106616358927434,1,-0.9749279121818236,-0.2225209339563146,-0.1480828879992059,-0.2607642654921089,1.2336796426265642,0.9994603306317059,1.1992988592947356,1.7234038535843133,0.0
2024-08-11,Makkasan,Test,-0.806423894132766,-1.175877839679761,0.9044098823286671,1,-0.7818314824680299,0.6234898018587334,-0.5293716553613325,-0.7649494372422659,1.214472156166746,1.1089373426365225,1.2340574002723799,1.5445870475196128,0.0
2024-08-12,Makkasan,Test,0.034202616613905015,-1.2452607609194715,0.20129803405924876,1,0.0,1.0,1.3611273784505207,1.160744218743285,1.1771205735009416,1.3877464560902728,1.2414209690970877,1.4847408033748697,0.0
2024-08-13,Makkasan,Test,2.6671388817105184,-0.9677290759606295,0.013801541187404516,0,0.7818314824680298,0.6234898018587336,1.464421971790442,1.330111276437998,0.7487736868797477,2.286636060266588,0.8861599748677672,2.392661129558317,1.0
2024-08-14,Makkasan,Test,-0.06591056957434367,-0.4473571666628008,0.5294168965849754,0,0.9749279121818236,-0.22252093395631434,1.3143328479106233,1.389503963336722,0.7592746656363266,2.3254986849892725,0.9094987438545518,2.4611877902981396,1.0
2024-08-15,Makkasan,Test,0.10837554403272895,-0.8983461547209189,0.8106616358927434,0,0.43388373911755823,-0.900968867902419,1.3781120599057426,1.5497336845854774,0.7954963961574362,2.443381588928184,0.9116828532517107,2.467512918301878,1.0
2024-08-16,Makkasan,Test,0.3138710314717657,-0.9330376153407742,0.6231651430208992,0,-0.433883739117558,-0.9009688679024191,1.6488270847328526,1.922080144758247,0.8159001966528135,2.508894030544033,0.9002630812608509,2.428345436799309,1.0
2024-08-17,Makkasan,Test,-2.3454108089375443,-1.175877839679761,0.06067566440536308,0,-0.9749279121818236,-0.2225209339563146,-0.248257845969801,-0.07899653690645363,0.8212171479219669,2.5304109317614163,0.8663157809164364,2.263104263455088,0.0
2024-08-18,Makkasan,Test,-0.6094400541024468,-1.0024205365804848,0.10754978762332497,0,-0.7818314824680299,0.6234898018587334,-0.7241755528681645,-0.7264420907914448,0.8339113690770711,2.489065313205911,0.8542719776692458,2.301784515451931,0.0
2024-08-19,Makkasan,Test,2.3732843878381282,-1.1064949184400505,0.29504628049516923,0,0.0,1.0,-0.8728781721393938,-0.6970720807865813,0.8678069334179259,2.3180959706917426,0.8725560934797484,2.198483945845104,1.0
2024-08-20,Makkasan,Test,0.039066415133172154,-0.8289632334812085,0.06067566440536308,0,0.7818314824680298,0.6234898018587336,1.5191889038297295,1.452159984680431,1.3101108171206481,1.2707595864632997,1.2509686473189543,1.3070945554949924,1.0
2024-08-21,Makkasan,Test,-0.008355620429682485,-0.9677290759606295,-0.03307258203055738,0,0.9749279121818236,-0.22252093395631434,1.5032441008309496,1.400925633894169,1.3026670853438331,1.2519242793202747,1.224759334553046,1.24710565320769,1.0
2024-08-22,Makkasan,Test,0.16106669465812298,-0.759580312241498,0.388794526931093,0,0.43388373911755823,-0.900968867902419,1.4845262886149906,1.490014664242255,1.2810005089220313,1.2011960405520807,1.2074112656270402,1.2080475376095567,1.0
2024-08-23,Makkasan,Test,0.2757712764041731,-1.0024205365804848,1.0919063752005114,0,-0.433883739117558,-0.9009688679024191,1.6765571769046435,1.7445547509510722,1.2915679495694745,1.229612073168279,1.1981756030333393,1.1813841689691555,1.0
2024-08-24,Makkasan,Test,-2.343384226221183,-0.7248888516216427,0.10754978762332497,0,-0.9749279121818236,-0.2225209339563146,-0.1820522509096499,-0.14197889169466094,1.2984135243285102,1.2538171064467651,1.1830740466301253,1.1178505210571628,0.0
2024-08-25,Makkasan,Test,-0.4079977320961327,-0.9330376153407742,0.15442391084128687,0,-0.7818314824680299,0.6234898018587334,-0.5473962152729966,-0.6308263915533892,1.2858522269551347,1.32605000172218,1.1682845058550777,1.1998663521760322,0.0
2024-08-26,Makkasan,Test,2.202646123120506,-1.0024205365804848,0.3419204037131311,0,0.0,1.0,1.433918870401472,1.2818139266522224,1.2970178246203574,1.2453637946528568,1.1845093185196873,1.0749014556880199,1.0
2024-08-27,Makkasan,Test,0.01231552327720287,-0.9677290759606295,-0.03307258203055738,0,0.7818314824680298,0.6234898018587336,1.480366774789222,1.3150999379910677,1.2897734785161352,1.2296090502728219,1.174462415292756,1.0553792616683644,1.0
2024-08-28,Makkasan,Test,0.028122868464821083,-1.1411863790599057,-0.6424361838640537,0,0.9749279121818236,-0.22252093395631434,1.3902439752309013,1.3102049363235906,1.2762817146706578,1.197602681035432,1.1602969057740387,1.0253276012416421,1.0
2024-08-29,Makkasan,Test,0.015152739080108705,-1.0718034578201951,-1.345548032133472,0,0.43388373911755823,-0.900968867902419,1.5396398468064254,1.4417173144564794,1.2619259462439425,1.1691688925656205,1.1517476775623023,1.006259155944685,1.0
2024-08-30,Makkasan,Test,0.3629143332077094,-0.7942717728613532,-0.45493969099220777,0,-0.433883739117558,-0.9009688679024191,1.7122596705758244,1.6655820573824391,1.2148044656210684,1.0537977590714107,1.1207333241226445,0.9216062318754252,1.0
2024-08-31,Makkasan,Test,-2.0199416246899182,-1.7309412095974448,0.10754978762332497,0,-0.9749279121818236,-0.2225209339563146,-0.2475645936655062,-0.21931991804080153,1.1660878996174475,0.8790317496639407,1.1031356426941057,0.84585691677461,0.0
