Station,Direction,params,mean_test_score,rank_test_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,RMSE
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1483.3331877153569,74,squared_error,,1,20,1483.3331877153569
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1483.3331877153569,74,squared_error,30,1,20,1483.3331877153569
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1483.3331877153569,74,squared_error,20,1,20,1483.3331877153569
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1483.3773577122279,77,absolute_error,30,1,20,1483.3773577122279
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1483.3773577122279,77,absolute_error,20,1,20,1483.3773577122279
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1483.3773577122279,77,absolute_error,,1,20,1483.3773577122279
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2}",-1486.2733337705426,80,squared_error,20,2,2,1486.2733337705426
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",-1486.2733337705426,80,squared_error,,2,2,1486.2733337705426
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 2}",-1486.2733337705426,80,squared_error,30,2,2,1486.2733337705426
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",-1486.9341298014895,83,absolute_error,20,1,5,1486.9341298014895
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5}",-1487.434939191075,84,absolute_error,30,1,5,1487.434939191075
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",-1487.434939191075,84,absolute_error,,1,5,1487.434939191075
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5}",-1489.4626701586162,86,absolute_error,30,2,5,1489.4626701586162
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}",-1489.4626701586162,86,absolute_error,20,2,5,1489.4626701586162
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",-1489.4626701586162,86,absolute_error,,2,5,1489.4626701586162
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5}",-1490.8980801315802,89,poisson,30,1,5,1490.8980801315802
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",-1490.8980801315802,89,poisson,20,1,5,1490.8980801315802
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",-1490.8980801315802,89,poisson,,1,5,1490.8980801315802
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",-1492.5855138793183,92,poisson,10,1,10,1492.5855138793183
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",-1498.955078650038,93,absolute_error,10,1,5,1498.955078650038
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",-1507.997497979539,94,absolute_error,30,1,2,1507.997497979539
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",-1507.997497979539,94,absolute_error,,1,2,1507.997497979539
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 20}",-1508.6755902201091,96,poisson,10,4,20,1508.6755902201091
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1508.720619457778,97,poisson,10,1,20,1508.720619457778
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",-1509.1586078620735,98,squared_error,10,1,2,1509.1586078620735
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1509.4569614588129,99,poisson,,1,20,1509.4569614588129
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1509.4569614588129,99,poisson,30,1,20,1509.4569614588129
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1509.4569614588129,99,poisson,20,1,20,1509.4569614588129
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 20}",-1510.2185496258821,102,poisson,,4,20,1510.2185496258821
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 20}",-1510.2185496258821,102,poisson,30,4,20,1510.2185496258821
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 20}",-1510.2185496258821,102,poisson,20,4,20,1510.2185496258821
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1510.8551139525575,105,poisson,10,2,20,1510.8551139525575
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1511.3180546220417,106,poisson,,2,20,1511.3180546220417
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1511.3180546220417,106,poisson,30,2,20,1511.3180546220417
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1511.3180546220417,106,poisson,20,2,20,1511.3180546220417
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",-1522.4898855540184,109,absolute_error,10,2,2,1522.4898855540184
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",-1522.8582531588174,110,absolute_error,20,1,2,1522.8582531588174
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 2}",-1531.2260885313349,111,absolute_error,30,2,2,1531.2260885313349
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2}",-1531.2260885313349,111,absolute_error,20,2,2,1531.2260885313349
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",-1531.2260885313349,111,absolute_error,,2,2,1531.2260885313349
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",-1539.0196791024507,114,poisson,10,2,2,1539.0196791024507
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",-1539.4413965936978,115,poisson,10,2,5,1539.4413965936978
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1540.4172480897764,116,poisson,10,2,10,1540.4172480897764
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1543.3671024813298,117,poisson,20,2,10,1543.3671024813298
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1543.3671024813298,117,poisson,30,2,10,1543.3671024813298
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1543.3671024813298,117,poisson,,2,10,1543.3671024813298
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1545.6200498372725,120,poisson,10,4,10,1545.6200498372725
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",-1546.5317512224096,121,absolute_error,10,2,5,1546.5317512224096
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 8, 'min_samples_split': 2}",-1547.839602284722,122,squared_error,,8,2,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 8, 'min_samples_split': 5}",-1547.839602284722,122,squared_error,,8,5,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 8, 'min_samples_split': 5}",-1547.839602284722,122,squared_error,20,8,5,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 8, 'min_samples_split': 10}",-1547.839602284722,122,squared_error,30,8,10,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 2}",-1547.839602284722,122,squared_error,10,8,2,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 5}",-1547.839602284722,122,squared_error,10,8,5,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 10}",-1547.839602284722,122,squared_error,10,8,10,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 8, 'min_samples_split': 2}",-1547.839602284722,122,squared_error,20,8,2,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 8, 'min_samples_split': 5}",-1547.839602284722,122,squared_error,30,8,5,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 8, 'min_samples_split': 10}",-1547.839602284722,122,squared_error,20,8,10,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 8, 'min_samples_split': 2}",-1547.839602284722,122,squared_error,30,8,2,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 8, 'min_samples_split': 10}",-1547.839602284722,122,squared_error,,8,10,1547.839602284722
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 8, 'min_samples_split': 20}",-1549.4861034585242,134,squared_error,20,8,20,1549.4861034585242
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 8, 'min_samples_split': 20}",-1549.4861034585242,134,squared_error,,8,20,1549.4861034585242
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 20}",-1549.4861034585242,134,squared_error,10,8,20,1549.4861034585242
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 8, 'min_samples_split': 20}",-1549.4861034585242,134,squared_error,30,8,20,1549.4861034585242
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1550.8910159427753,138,poisson,,4,10,1550.8910159427753
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1550.8910159427753,138,poisson,30,4,10,1550.8910159427753
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1550.8910159427753,138,poisson,20,4,10,1550.8910159427753
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 20}",-1550.9564601862453,141,absolute_error,10,8,20,1550.9564601862453
